ocel_id;ocel_time;ocel_changed_field;Amount of Goods
co60;2023-07-05 11:33:50;;800
co61;2023-07-05 17:32:22;;500
co62;2023-07-06 11:59:26;;350
co63;2023-07-06 18:23:34;;700
co64;2023-07-07 14:19:39;;700
co65;2023-07-10 10:16:06;;850
co66;2023-07-10 15:56:54;;700
co67;2023-07-11 10:48:30;;1000
co68;2023-07-11 17:01:42;;950
co69;2023-07-12 10:58:06;;700
co70;2023-07-12 17:20:54;;1250
co71;2023-07-13 11:36:30;;700
co72;2023-07-13 17:37:42;;300
co73;2023-07-14 13:28:16;;900
co74;2023-07-17 09:48:45;;800
co75;2023-07-17 16:02:12;;1200
co76;2023-07-18 09:59:06;;1050
co77;2023-07-18 16:22:54;;1150
co78;2023-07-19 10:40:30;;450
co79;2023-07-19 16:45:42;;1350
co80;2023-07-20 11:26:06;;600
co81;2023-07-20 17:16:54;;1050
co82;2023-07-21 12:37:45;;600
co83;2023-07-24 09:08:00;;550
co84;2023-07-24 14:40:42;;1500
co85;2023-07-25 08:51:30;;500
co86;2023-07-25 15:11:57;;1450
co87;2023-07-26 09:18:36;;300
co88;2023-07-26 15:01:54;;900
co89;2023-07-27 08:55:06;;1050
co90;2023-07-27 15:17:21;;500
co91;2023-07-28 09:47:25;;1350
co92;2023-07-28 18:18:41;;900
co93;2023-07-31 13:02:28;;650
co94;2023-07-31 18:29:38;;550
co95;2023-08-01 12:53:58;;1300
co96;2023-08-01 19:12:38;;400
co97;2023-08-02 13:13:39;;400
co98;2023-08-02 18:52:00;;950
co99;2023-08-03 13:38:42;;1500
co100;2023-08-03 19:45:30;;650
co101;2023-08-04 16:06:08;;1100
co102;2023-08-07 11:17:07;;1450
co103;2023-08-07 16:58:56;;1350
co104;2023-08-08 11:52:34;;800
co105;2023-08-08 18:09:50;;1000
co106;2023-08-09 12:14:22;;1000
co107;2023-08-09 17:53:26;;1000
co108;2023-08-10 12:41:34;;350
co109;2023-08-10 18:47:50;;1150
co110;2023-08-11 15:18:35;;950
co111;2023-08-14 10:56:17;;950
co112;2023-08-14 17:17:16;;1300
co113;2023-08-15 11:29:14;;1200
co114;2023-08-15 17:23:10;;950
co115;2023-08-16 11:41:02;;650
co116;2023-08-16 17:46:46;;300
co117;2023-08-17 12:28:14;;1300
co118;2023-08-17 18:21:10;;1300
co119;2023-08-18 14:13:50;;650
co120;2023-08-21 10:06:13;;550
co121;2023-08-21 15:37:08;;850
co122;2023-08-22 10:08:58;;400
co123;2023-08-22 15:42:38;;1350
co124;2023-08-23 10:19:58;;1100
co125;2023-08-23 16:04:38;;1100
co126;2023-08-24 10:03:58;;1100
co127;2023-08-24 15:32:38;;1150
co128;2023-08-25 10:24:32;;300
co129;2023-08-25 18:32:55;;600
co130;2023-08-28 13:26:39;;1250
co131;2023-08-28 19:18:00;;900
co132;2023-08-29 13:21:42;;300
co133;2023-08-29 19:08:06;;1450
co134;2023-08-30 13:06:51;;900
co135;2023-08-30 18:38:24;;1000
co136;2023-08-31 13:11:30;;1250
co137;2023-08-31 18:47:42;;1100
co138;2023-09-01 15:18:16;;350
co139;2023-09-04 10:55:45;;1450
co140;2023-09-04 17:16:12;;650
co141;2023-09-05 11:27:06;;1300
co142;2023-09-05 17:18:54;;1000
co143;2023-09-06 11:32:30;;900
co144;2023-09-06 17:29:42;;1200
co145;2023-09-07 11:54:06;;1450
co146;2023-09-07 18:12:54;;600
co147;2023-09-08 13:53:45;;700
co148;2023-09-11 10:32:04;;950
co149;2023-09-11 16:28:50;;600
co150;2023-09-12 10:52:22;;350
co151;2023-09-12 17:09:26;;1450
co152;2023-09-13 11:13:34;;1350
co153;2023-09-13 16:51:50;;700
co154;2023-09-14 11:38:22;;1050
co155;2023-09-14 17:41:26;;1250
co156;2023-09-15 13:37:20;;650
co157;2023-09-18 10:04:10;;700
co158;2023-09-18 15:33:02;;600
co159;2023-09-19 10:00:46;;1000
co160;2023-09-19 15:26:14;;1000
co161;2023-09-20 09:47:10;;350
co162;2023-09-20 15:59:02;;1450
co163;2023-09-21 10:52:46;;450
co164;2023-09-21 17:10:14;;750
co165;2023-09-22 12:21:34;;1050
co166;2023-09-25 08:29:09;;1500
co167;2023-09-25 14:38:25;;1050
co168;2023-09-26 08:44:39;;800
co169;2023-09-26 15:01:40;;1250
co170;2023-09-27 08:54:24;;1500
co171;2023-09-27 15:16:18;;600
co172;2023-09-28 09:27:18;;1500
co173;2023-09-28 15:19:18;;400
co174;2023-09-29 09:52:09;;500
co175;2023-09-29 18:28:09;;550
co176;2023-10-02 13:18:33;;1150
co177;2023-10-02 19:01:48;;700
co178;2023-10-03 12:57:24;;600
co179;2023-10-03 19:19:30;;1250
co180;2023-10-04 13:23:57;;1300
co181;2023-10-04 19:12:36;;300
co182;2023-10-05 13:13:36;;400
co183;2023-10-05 18:51:54;;1200
co184;2023-10-06 15:28:28;;1050
co185;2023-10-09 11:13:05;;300
co186;2023-10-09 16:50:52;;1150
co187;2023-10-10 11:36:26;;800
co188;2023-10-10 17:37:34;;700
co189;2023-10-11 12:09:50;;900
co190;2023-10-11 17:44:22;;750
co191;2023-10-12 12:23:26;;1400
co192;2023-10-12 18:11:34;;700
co193;2023-10-13 13:50:31;;400
co194;2023-10-16 10:26:35;;800
co195;2023-10-16 16:17:52;;1050
co196;2023-10-17 10:30:26;;1500
co197;2023-10-17 16:25:34;;350
co198;2023-10-18 10:45:50;;1200
co199;2023-10-18 16:56:22;;950
co200;2023-10-19 11:47:26;;300
co201;2023-10-19 17:59:34;;450
co202;2023-10-20 14:21:22;;850
co203;2023-10-23 10:19:01;;1250
co204;2023-10-23 16:02:44;;500
co205;2023-10-24 10:00:10;;1350
co206;2023-10-24 15:25:02;;1250
co207;2023-10-25 09:44:46;;1300
co208;2023-10-25 15:54:14;;400
co209;2023-10-26 10:43:10;;1050
co210;2023-10-26 16:51:02;;950
co211;2023-10-27 12:34:56;;900
co212;2023-10-30 09:01:14;;1450
co213;2023-10-30 14:27:10;;1000
co214;2023-10-30 21:10:54;;1500
co215;2023-10-31 14:05:36;;1150
co216;2023-10-31 20:06:12;;1500
co217;2023-11-01 13:34:00;;1300
co218;2023-11-01 19:32:42;;650
co219;2023-11-02 13:43:45;;550
co220;2023-11-02 20:00:39;;1450
co221;2023-11-03 15:32:07;;1400
co222;2023-11-06 11:19:18;;1050
co223;2023-11-06 17:03:18;;1450
co224;2023-11-07 11:01:18;;550
co225;2023-11-07 16:27:18;;1100
co226;2023-11-08 10:49:18;;1100
co227;2023-11-08 17:03:18;;1300
co228;2023-11-09 11:01:18;;400
co229;2023-11-09 16:27:18;;1000
co230;2023-11-10 11:37:18;;1450
co231;2023-11-10 20:19:36;;1250
co232;2023-11-13 14:00:09;;1350
co233;2023-11-13 19:49:51;;1100
co234;2023-11-14 14:09:28;;1400
co235;2023-11-14 20:17:48;;1100
co236;2023-11-15 13:51:24;;1250
co237;2023-11-15 20:23:36;;550
co238;2023-11-16 14:00:06;;750
co239;2023-11-16 19:49:42;;500
co240;2023-11-17 16:13:20;;400
co241;2023-11-20 11:29:22;;1350
co242;2023-11-20 17:23:26;;1150
co243;2023-11-21 11:41:34;;400
co244;2023-11-21 17:47:50;;950
co245;2023-11-22 12:30:22;;1250
co246;2023-11-22 18:25:26;;950
co247;2023-11-23 12:45:34;;500
co248;2023-11-23 18:55:50;;350
co249;2023-11-24 15:38:01;;1500
co250;2023-11-27 11:29:20;;550
co251;2023-11-27 17:23:22;;800
co252;2023-11-28 11:41:26;;1150
co253;2023-11-28 17:47:34;;400
co254;2023-11-29 12:29:50;;1050
co255;2023-11-29 18:24:22;;900
co256;2023-11-30 12:43:26;;1400
co257;2023-11-30 18:51:34;;400
co258;2023-12-01 15:27:39;;850
co259;2023-12-04 11:11:42;;1100
co260;2023-12-04 16:48:06;;750
co261;2023-12-05 11:30:54;;450
co262;2023-12-05 17:26:30;;750
co263;2023-12-06 11:47:42;;500
co264;2023-12-06 18:00:06;;650
co265;2023-12-07 11:54:54;;1400
co266;2023-12-07 18:14:30;;500
co267;2023-12-08 13:57:38;;950
co268;2023-12-11 10:38:40;;1300
co269;2023-12-11 16:42:02;;1100
co270;2023-12-12 11:18:46;;1200
co271;2023-12-12 17:02:14;;650
co272;2023-12-13 10:59:10;;900
co273;2023-12-13 17:23:02;;400
co274;2023-12-14 11:40:46;;500
co275;2023-12-14 17:46:14;;800
co276;2023-12-15 13:48:59;;300
co277;2023-12-18 10:23:58;;600
co278;2023-12-18 16:12:38;;850
co279;2023-12-19 10:19:58;;500
co280;2023-12-19 16:04:38;;1300
co281;2023-12-20 10:03:58;;800
co282;2023-12-20 15:32:38;;550
co283;2023-12-21 09:59:58;;1450
co284;2023-12-21 16:24:38;;1250
co285;2023-12-22 11:30:49;;1300
co286;2023-12-22 20:00:09;;750
co287;2023-12-25 13:33:54;;650
co288;2023-12-25 19:32:30;;1350
co289;2023-12-26 13:43:27;;300
co290;2023-12-26 19:59:45;;700
co291;2023-12-27 14:24:19;;1150
co292;2023-12-27 21:02:21;;1500
co293;2023-12-28 13:57:03;;1100
co294;2023-12-28 20:40:33;;550
co295;2023-12-29 16:40:31;;1500
co296;2024-01-01 12:15:35;;1400
co297;2024-01-01 17:55:52;;1200
co298;2024-01-02 12:46:26;;1250
co299;2024-01-02 18:57:34;;550
co300;2024-01-03 13:49:50;;350
co301;2024-01-03 20:18:54;;900
co302;2024-01-04 13:53:03;;1250
co303;2024-01-04 20:28:33;;500
co304;2024-01-05 16:19:56;;1150
co305;2024-01-08 11:40:35;;1350
co306;2024-01-08 17:45:52;;1200
co307;2024-01-09 12:26:26;;1350
co308;2024-01-09 18:17:34;;800
co309;2024-01-10 12:29:50;;1250
co310;2024-01-10 18:24:22;;400
co311;2024-01-11 12:43:26;;750
co312;2024-01-11 18:51:34;;550
co313;2024-01-12 15:27:39;;1100
co314;2024-01-15 11:11:42;;550
co315;2024-01-15 16:48:06;;1450
co316;2024-01-16 11:30:54;;1350
co317;2024-01-16 17:26:30;;450
co318;2024-01-17 11:47:42;;800
co319;2024-01-17 18:00:06;;550
co320;2024-01-18 11:54:54;;1300
co321;2024-01-18 18:14:30;;550
co322;2024-01-19 13:57:38;;1500
co323;2024-01-22 10:38:40;;1500
co324;2024-01-22 16:42:02;;450
co325;2024-01-23 11:18:46;;600
co326;2024-01-23 17:02:14;;1250
co327;2024-01-24 10:59:10;;1000
co328;2024-01-24 17:23:02;;1200
co329;2024-01-25 11:40:46;;950
co330;2024-01-25 17:46:14;;1500
co331;2024-01-26 13:48:59;;1050
co332;2024-01-29 10:23:58;;400
co333;2024-01-29 16:12:38;;600
co334;2024-01-30 10:19:58;;950
co335;2024-01-30 16:04:38;;1350
co336;2024-01-31 10:03:58;;500
co337;2024-01-31 15:32:38;;650
co338;2024-02-01 09:59:58;;700
co339;2024-02-01 16:24:38;;1150
co340;2024-02-02 11:30:49;;850
co341;2024-02-02 20:00:09;;1500
co342;2024-02-05 13:33:54;;1400
co343;2024-02-05 19:32:30;;350
co344;2024-02-06 13:43:27;;500
co345;2024-02-06 19:59:45;;950
co346;2024-02-07 14:24:19;;700
co347;2024-02-07 21:02:21;;1400
co348;2024-02-08 13:57:03;;400
co349;2024-02-08 20:40:33;;650
co350;2024-02-09 16:40:31;;700
co351;2024-02-12 12:15:35;;500
co352;2024-02-12 17:55:52;;1300
co353;2024-02-13 12:46:26;;950
co354;2024-02-13 18:57:34;;1250
co355;2024-02-14 13:49:50;;700
co356;2024-02-14 20:18:54;;500
co357;2024-02-15 13:53:03;;750
co358;2024-02-15 20:28:33;;1500
co359;2024-02-16 16:19:56;;750
co360;2024-02-19 11:40:35;;600
co361;2024-02-19 17:45:52;;800
co362;2024-02-20 12:26:26;;1250
co363;2024-02-20 18:17:34;;1450
co364;2024-02-21 12:29:50;;1450
co365;2024-02-21 18:24:22;;600
co366;2024-02-22 12:43:26;;1050
co367;2024-02-22 18:51:34;;500
co368;2024-02-23 15:27:39;;450
co369;2024-02-26 11:11:42;;1250
co370;2024-02-26 16:48:06;;1250
co371;2024-02-27 11:30:54;;850
co372;2024-02-27 17:26:30;;600
co373;2024-02-28 11:47:42;;1100
co374;2024-02-28 18:00:06;;300
co375;2024-02-29 11:54:54;;550
co376;2024-02-29 18:14:30;;1000
co377;2024-03-01 13:57:38;;300
co378;2024-03-04 10:38:40;;300
co379;2024-03-04 16:42:02;;500
co380;2024-03-05 11:18:46;;1450
co381;2024-03-05 17:02:14;;1200
co382;2024-03-06 10:59:10;;1050
co383;2024-03-06 17:23:02;;700
co384;2024-03-07 11:40:46;;1150
co385;2024-03-07 17:46:14;;550
co386;2024-03-08 13:48:59;;650
co387;2024-03-11 10:23:58;;1450
co388;2024-03-11 16:12:38;;1100
co389;2024-03-12 10:19:58;;1250
co390;2024-03-12 16:04:38;;1500
co391;2024-03-13 10:03:58;;1150
co392;2024-03-13 15:32:38;;350
co393;2024-03-14 09:59:58;;1200
co394;2024-03-14 16:24:38;;900
co395;2024-03-15 11:30:49;;450
co396;2024-03-15 20:00:09;;700
co397;2024-03-18 13:33:54;;350
co398;2024-03-18 19:32:30;;1500
co399;2024-03-19 13:43:27;;650
co400;2024-03-19 19:59:45;;1400
co401;2024-03-20 14:24:19;;1100
co402;2024-03-20 21:02:21;;400
co403;2024-03-21 13:57:03;;600
co404;2024-03-21 20:40:33;;300
co405;2024-03-22 16:40:31;;1200
co406;2024-03-25 12:15:35;;950
co407;2024-03-25 17:55:52;;500
co408;2024-03-26 12:46:26;;1400
co409;2024-03-26 18:57:34;;750
co410;2024-03-27 13:49:50;;1300
co411;2024-03-27 20:18:54;;1500
co412;2024-03-28 13:53:03;;1000
co413;2024-03-28 20:28:33;;350
co414;2024-03-29 16:19:56;;1050
co415;2024-04-01 11:40:35;;750
co416;2024-04-01 17:45:52;;400
co417;2024-04-02 12:26:26;;1400
co418;2024-04-02 18:17:34;;850
co419;2024-04-03 12:29:50;;1200
co420;2024-04-03 18:24:22;;1100
co421;2024-04-04 12:43:26;;450
co422;2024-04-04 18:51:34;;750
co423;2024-04-05 15:27:39;;1050
co424;2024-04-08 11:11:42;;700
co425;2024-04-08 16:48:06;;850
co426;2024-04-09 11:30:54;;550
co427;2024-04-09 17:26:30;;300
co428;2024-04-10 11:47:42;;1500
co429;2024-04-10 18:00:06;;800
co430;2024-04-11 11:54:54;;550
co431;2024-04-11 18:14:30;;600
co432;2024-04-12 13:57:38;;650
co433;2024-04-15 10:38:40;;750
co434;2024-04-15 16:42:02;;1300
co435;2024-04-16 11:18:46;;600
co436;2024-04-16 17:02:14;;400
co437;2024-04-17 10:59:10;;1100
co438;2024-04-17 17:23:02;;1350
co439;2024-04-18 11:40:46;;1300
co440;2024-04-18 17:46:14;;1400
co441;2024-04-19 13:48:59;;600
co442;2024-04-22 10:23:58;;500
co443;2024-04-22 16:12:38;;650
co444;2024-04-23 10:19:58;;1350
co445;2024-04-23 16:04:38;;1000
co446;2024-04-24 10:03:58;;350
co447;2024-04-24 15:32:38;;600
co448;2024-04-25 09:59:58;;850
co449;2024-04-25 16:24:38;;950
co450;2024-04-26 11:30:49;;700
co451;2024-04-26 20:00:09;;1200
co452;2024-04-29 13:33:54;;700
co453;2024-04-29 19:32:30;;1500
co454;2024-04-30 13:43:27;;850
co455;2024-04-30 19:59:45;;750
co456;2024-05-01 14:24:19;;350
co457;2024-05-01 21:02:21;;600
co458;2024-05-02 13:57:03;;600
co459;2024-05-02 20:40:33;;1250
co460;2024-05-03 16:40:31;;1200
co461;2024-05-06 12:15:35;;850
co462;2024-05-06 17:55:52;;1050
co463;2024-05-07 12:46:26;;1250
co464;2024-05-07 18:57:34;;1000
co465;2024-05-08 13:49:50;;400
co466;2024-05-08 20:18:54;;650
co467;2024-05-09 13:53:03;;750
co468;2024-05-09 20:28:33;;550
co469;2024-05-10 16:19:56;;550
co470;2024-05-13 11:40:35;;300
co471;2024-05-13 17:45:52;;300
co472;2024-05-14 12:26:26;;1050
co473;2024-05-14 18:17:34;;1100
co474;2024-05-15 12:29:50;;1250
co475;2024-05-15 18:24:22;;1350
co476;2024-05-16 12:43:26;;700
co477;2024-05-16 18:51:34;;400
co478;2024-05-17 15:27:39;;650
co479;2024-05-20 11:11:42;;1250
co480;2024-05-20 16:48:06;;1400
co481;2024-05-21 11:30:54;;650
co482;2024-05-21 17:26:30;;650
co483;2024-05-22 11:47:42;;1350
co484;2024-05-22 18:00:06;;1150
co485;2024-05-23 11:54:54;;1400
co486;2024-05-23 18:14:30;;1000
co487;2024-05-24 13:57:38;;1500
co488;2024-05-27 10:38:40;;950
co489;2024-05-27 16:42:02;;1300
co490;2024-05-28 11:18:46;;900
co491;2024-05-28 17:02:14;;950
co492;2024-05-29 10:59:10;;350
co493;2024-05-29 17:23:02;;700
co494;2024-05-30 11:40:46;;1150
co495;2024-05-30 17:46:14;;1050
co496;2024-05-31 13:48:59;;1400
co497;2024-06-03 10:23:58;;600
co498;2024-06-03 16:12:38;;850
co499;2024-06-04 10:19:58;;1050
co500;2024-06-04 16:04:38;;750
co501;2024-06-05 10:03:58;;1500
co502;2024-06-05 15:32:38;;350
co503;2024-06-06 09:59:58;;500
co504;2024-06-06 16:24:38;;400
co505;2024-06-07 11:30:49;;1400
co506;2024-06-07 20:00:09;;300
co507;2024-06-10 13:33:54;;1150
co508;2024-06-10 19:32:30;;1350
co509;2024-06-11 13:43:27;;1400
co510;2024-06-11 19:59:45;;450
co511;2024-06-12 14:24:19;;550
co512;2024-06-12 21:02:21;;500
co513;2024-06-13 13:57:03;;500
co514;2024-06-13 20:40:33;;900
co515;2024-06-14 16:40:31;;1350
co516;2024-06-17 12:15:35;;300
co517;2024-06-17 17:55:52;;1400
co518;2024-06-18 12:46:26;;1050
co519;2024-06-18 18:57:34;;450
co520;2024-06-19 13:49:50;;1300
co521;2024-06-19 20:18:54;;1400
co522;2024-06-20 13:53:03;;1250
co523;2024-06-20 20:28:33;;1400
co524;2024-06-21 16:19:56;;500
co525;2024-06-24 11:40:35;;750
co526;2024-06-24 17:45:52;;450
co527;2024-06-25 12:26:26;;500
co528;2024-06-25 18:17:34;;550
co529;2024-06-26 12:29:50;;1050
co530;2024-06-26 18:24:22;;1300
co531;2024-06-27 12:43:26;;1300
co532;2024-06-27 18:51:34;;500
co533;2024-06-28 15:27:39;;850
co534;2024-07-01 11:11:42;;700
co535;2024-07-01 16:48:06;;850
co536;2024-07-02 11:30:54;;700
co537;2024-07-02 17:26:30;;950
co538;2024-07-03 11:47:42;;450
co539;2024-07-03 18:00:06;;1250
co540;2024-07-04 11:54:54;;1000
co541;2024-07-04 18:14:30;;900
co542;2024-07-05 13:57:38;;700
co543;2024-07-08 10:38:40;;1150
co544;2024-07-08 16:42:02;;450
co545;2024-07-09 11:18:46;;400
co546;2024-07-09 17:02:14;;900
co547;2024-07-10 10:59:10;;500
co548;2024-07-10 17:23:02;;1400
co549;2024-07-11 11:40:46;;1100
co550;2024-07-11 17:46:14;;1100
co551;2024-07-12 13:48:59;;1450
co552;2024-07-15 10:23:58;;450
co553;2024-07-15 16:12:38;;550
co554;2024-07-16 10:19:58;;300
co555;2024-07-16 16:04:38;;300
co556;2024-07-17 10:03:58;;800
co557;2024-07-17 15:32:38;;900
co558;2024-07-18 09:59:58;;650
co559;2024-07-18 16:24:38;;1000
co560;2024-07-19 11:30:49;;450
co561;2024-07-19 20:00:09;;550
co562;2024-07-22 13:33:54;;1450
co563;2024-07-22 19:32:30;;850
co564;2024-07-23 13:43:27;;850
co565;2024-07-23 19:59:45;;900
co566;2024-07-24 14:24:19;;1400
co567;2024-07-24 21:02:21;;900
co568;2024-07-25 13:57:03;;1100
co569;2024-07-25 20:40:33;;700
co570;2024-07-26 16:40:31;;350
co571;2024-07-29 12:15:35;;1050
co572;2024-07-29 17:55:52;;1500
co573;2024-07-30 12:46:26;;900
co574;2024-07-30 18:57:34;;1450
co575;2024-07-31 13:49:50;;1050
co576;2024-07-31 20:18:54;;1150
co577;2024-08-01 13:53:03;;650
co578;2024-08-01 20:28:33;;400
co579;2024-08-02 16:19:56;;850
co580;2024-08-05 11:40:35;;450
co581;2024-08-05 17:45:52;;1200
co582;2024-08-06 12:26:26;;300
co583;2024-08-06 18:17:34;;1050
co584;2024-08-07 12:29:50;;300
co585;2024-08-07 18:24:22;;1450
co586;2024-08-08 12:43:26;;1050
co587;2024-08-08 18:51:34;;1050
co588;2024-08-09 15:27:39;;300
co589;2024-08-12 11:11:42;;1450
co590;2024-08-12 16:48:06;;900
co591;2024-08-13 11:30:54;;1250
co592;2024-08-13 17:26:30;;900
co593;2024-08-14 11:47:42;;650
co594;2024-08-14 18:00:06;;550
co595;2024-08-15 11:54:54;;700
co596;2024-08-15 18:14:30;;1050
co597;2024-08-16 13:57:38;;400
co598;2024-08-19 10:38:40;;1500
co599;2024-08-19 16:42:02;;1150
co600;2024-08-20 11:18:46;;500
