ocel_id;ocel_time;ocel_changed_field;Departure Date
vh111;2024-06-18 11:00:00;;2024-06-18 11:00:00
vh112;2024-06-21 11:00:00;;2024-06-21 11:00:00
vh113;2024-06-25 11:00:00;;2024-06-25 11:00:00
vh114;2024-06-28 11:00:00;;2024-06-28 11:00:00
vh115;2024-07-02 11:00:00;;2024-07-02 11:00:00
vh116;2024-07-05 11:00:00;;2024-07-05 11:00:00
vh117;2024-07-09 11:00:00;;2024-07-09 11:00:00
vh118;2024-07-12 11:00:00;;2024-07-12 11:00:00
vh119;2024-07-16 11:00:00;;2024-07-16 11:00:00
vh120;2024-07-19 11:00:00;;2024-07-19 11:00:00
vh121;2024-07-23 11:00:00;;2024-07-23 11:00:00
vh122;2024-07-26 11:00:00;;2024-07-26 11:00:00
vh123;2024-07-30 11:00:00;;2024-07-30 11:00:00
vh124;2024-08-02 11:00:00;;2024-08-02 11:00:00
vh125;2024-08-06 11:00:00;;2024-08-06 11:00:00
vh126;2024-08-09 11:00:00;;2024-08-09 11:00:00
vh127;2024-08-13 11:00:00;;2024-08-13 11:00:00
vh128;2024-08-16 11:00:00;;2024-08-16 11:00:00
vh129;2024-08-20 11:00:00;;2024-08-20 11:00:00
vh130;2024-08-23 11:00:00;;2024-08-23 11:00:00
vh131;2024-08-27 11:00:00;;2024-08-27 11:00:00
vh132;2024-08-30 11:00:00;;2024-08-30 11:00:00
vh133;2024-09-03 11:00:00;;2024-09-03 11:00:00
vh134;2024-09-06 11:00:00;;2024-09-06 11:00:00
vh135;2024-09-10 11:00:00;;2024-09-10 11:00:00
vh137;2024-09-17 11:00:00;;2024-09-17 11:00:00
