ocel_id;ocel_type
collect_hu49;Collect Goods
load_truck_hu38;Load Truck
drive_term_cr5;Drive to Terminal
weigh_cr5;Weigh
stock_cr5;Place in Stock
load_truck_hu41;Load Truck
load_truck_hu43;Load Truck
load_truck_hu40;Load Truck
load_truck_hu45;Load Truck
reg_co15;Register Customer Order
load_truck_hu49;Load Truck
collect_hu44;Collect Goods
load_truck_hu44;Load Truck
collect_hu42;Collect Goods
drive_term_cr2;Drive to Terminal
weigh_cr2;Weigh
stock_cr2;Place in Stock
order_crs_td6;Order Empty Containers
pick_cr1;Pick Up Empty Container
pick_cr14;Pick Up Empty Container
load_truck_hu42;Load Truck
collect_hu55;Collect Goods
pick_cr16;Pick Up Empty Container
collect_hu59;Collect Goods
collect_hu52;Collect Goods
collect_hu63;Collect Goods
collect_hu58;Collect Goods
load_truck_hu58;Load Truck
collect_hu56;Collect Goods
collect_hu46;Collect Goods
load_truck_hu46;Load Truck
collect_hu61;Collect Goods
collect_hu54;Collect Goods
drive_term_cr12;Drive to Terminal
load_truck_hu61;Load Truck
load_truck_hu59;Load Truck
load_truck_hu63;Load Truck
weigh_cr12;Weigh
pick_cr17;Pick Up Empty Container
stock_cr12;Place in Stock
create_td7;Create Transport Document
collect_hu67;Collect Goods
drive_term_cr14;Drive to Terminal
weigh_cr14;Weigh
stock_cr14;Place in Stock
load_truck_hu56;Load Truck
load_truck_hu52;Load Truck
drive_term_cr11;Drive to Terminal
load_truck_hu55;Load Truck
weigh_cr11;Weigh
load_truck_hu54;Load Truck
to_bay_cr11;Bring to Loading Bay
load_veh_cr11;Load to Vehicle
collect_hu60;Collect Goods
load_truck_hu67;Load Truck
load_truck_hu60;Load Truck
collect_hu62;Collect Goods
reg_co16;Register Customer Order
book_vehs_td7;Book Vehicles
collect_hu66;Collect Goods
depart_vh1;Depart
load_truck_hu62;Load Truck
drive_term_cr16;Drive to Terminal
weigh_cr16;Weigh
stock_cr16;Place in Stock
load_truck_hu66;Load Truck
collect_hu65;Collect Goods
collect_hu69;Collect Goods
load_truck_hu65;Load Truck
collect_hu68;Collect Goods
load_truck_hu69;Load Truck
collect_hu64;Collect Goods
load_truck_hu68;Load Truck
collect_hu57;Collect Goods
load_truck_hu64;Load Truck
load_truck_hu57;Load Truck
collect_hu53;Collect Goods
load_truck_hu53;Load Truck
reg_co17;Register Customer Order
drive_term_cr17;Drive to Terminal
weigh_cr17;Weigh
stock_cr17;Place in Stock
create_td8;Create Transport Document
drive_term_cr1;Drive to Terminal
order_crs_td7;Order Empty Containers
weigh_cr1;Weigh
stock_cr1;Place in Stock
create_td9;Create Transport Document
book_vehs_td8;Book Vehicles
create_td10;Create Transport Document
book_vehs_td9;Book Vehicles
reg_co18;Register Customer Order
book_vehs_td10;Book Vehicles
create_td11;Create Transport Document
book_vehs_td11;Book Vehicles
order_crs_td9;Order Empty Containers
order_crs_td8;Order Empty Containers
reg_co19;Register Customer Order
create_td12;Create Transport Document
create_td13;Create Transport Document
order_crs_td10;Order Empty Containers
collect_hu70;Collect Goods
pick_cr28;Pick Up Empty Container
collect_hu75;Collect Goods
collect_hu73;Collect Goods
collect_hu72;Collect Goods
collect_hu71;Collect Goods
collect_hu74;Collect Goods
order_crs_td11;Order Empty Containers
book_vehs_td12;Book Vehicles
book_vehs_td13;Book Vehicles
load_truck_hu70;Load Truck
load_truck_hu71;Load Truck
load_truck_hu75;Load Truck
load_truck_hu72;Load Truck
load_truck_hu74;Load Truck
load_truck_hu73;Load Truck
reg_co20;Register Customer Order
drive_term_cr28;Drive to Terminal
weigh_cr28;Weigh
stock_cr28;Place in Stock
order_crs_td12;Order Empty Containers
collect_hu79;Collect Goods
pick_cr33;Pick Up Empty Container
collect_hu80;Collect Goods
collect_hu77;Collect Goods
collect_hu78;Collect Goods
collect_hu76;Collect Goods
collect_hu81;Collect Goods
load_truck_hu80;Load Truck
order_crs_td13;Order Empty Containers
load_truck_hu77;Load Truck
load_truck_hu79;Load Truck
collect_hu87;Collect Goods
pick_cr22;Pick Up Empty Container
reg_co21;Register Customer Order
pick_cr32;Pick Up Empty Container
pick_cr26;Pick Up Empty Container
pick_cr19;Pick Up Empty Container
to_bay_cr16;Bring to Loading Bay
to_bay_cr13;Bring to Loading Bay
load_veh_cr16;Load to Vehicle
to_bay_cr12;Bring to Loading Bay
to_bay_cr14;Bring to Loading Bay
load_veh_cr13;Load to Vehicle
load_veh_cr12;Load to Vehicle
load_veh_cr14;Load to Vehicle
collect_hu85;Collect Goods
load_truck_hu76;Load Truck
load_truck_hu78;Load Truck
load_truck_hu81;Load Truck
collect_hu84;Collect Goods
collect_hu96;Collect Goods
create_td14;Create Transport Document
drive_term_cr33;Drive to Terminal
weigh_cr33;Weigh
to_bay_cr33;Bring to Loading Bay
load_veh_cr33;Load to Vehicle
load_truck_hu96;Load Truck
collect_hu99;Collect Goods
collect_hu100;Collect Goods
load_truck_hu99;Load Truck
load_truck_hu85;Load Truck
load_truck_hu87;Load Truck
load_truck_hu84;Load Truck
book_vehs_td14;Book Vehicles
collect_hu98;Collect Goods
load_truck_hu100;Load Truck
collect_hu83;Collect Goods
load_truck_hu98;Load Truck
collect_hu90;Collect Goods
load_truck_hu83;Load Truck
collect_hu104;Collect Goods
load_truck_hu90;Load Truck
load_truck_hu104;Load Truck
collect_hu103;Collect Goods
collect_hu95;Collect Goods
load_truck_hu103;Load Truck
collect_hu86;Collect Goods
load_truck_hu95;Load Truck
load_truck_hu86;Load Truck
collect_hu97;Collect Goods
load_truck_hu97;Load Truck
collect_hu88;Collect Goods
load_truck_hu88;Load Truck
collect_hu94;Collect Goods
load_truck_hu94;Load Truck
collect_hu82;Collect Goods
load_truck_hu82;Load Truck
collect_hu92;Collect Goods
load_truck_hu92;Load Truck
collect_hu89;Collect Goods
load_truck_hu89;Load Truck
collect_hu105;Collect Goods
load_truck_hu105;Load Truck
collect_hu102;Collect Goods
drive_term_cr22;Drive to Terminal
load_truck_hu102;Load Truck
collect_hu91;Collect Goods
load_truck_hu91;Load Truck
collect_hu101;Collect Goods
weigh_cr22;Weigh
load_truck_hu101;Load Truck
collect_hu93;Collect Goods
load_truck_hu93;Load Truck
stock_cr22;Place in Stock
order_crs_td14;Order Empty Containers
reg_co22;Register Customer Order
drive_term_cr26;Drive to Terminal
weigh_cr26;Weigh
drive_term_cr32;Drive to Terminal
stock_cr26;Place in Stock
weigh_cr32;Weigh
stock_cr32;Place in Stock
drive_term_cr19;Drive to Terminal
weigh_cr19;Weigh
stock_cr19;Place in Stock
create_td15;Create Transport Document
create_td16;Create Transport Document
reg_co23;Register Customer Order
book_vehs_td15;Book Vehicles
order_crs_td15;Order Empty Containers
book_vehs_td16;Book Vehicles
reg_co24;Register Customer Order
depart_vh2;Depart
create_td17;Create Transport Document
book_vehs_td17;Book Vehicles
order_crs_td16;Order Empty Containers
order_crs_td17;Order Empty Containers
collect_hu109;Collect Goods
pick_cr48;Pick Up Empty Container
collect_hu111;Collect Goods
reg_co25;Register Customer Order
collect_hu106;Collect Goods
collect_hu108;Collect Goods
collect_hu110;Collect Goods
collect_hu107;Collect Goods
collect_hu113;Collect Goods
pick_cr27;Pick Up Empty Container
collect_hu114;Collect Goods
collect_hu112;Collect Goods
create_td18;Create Transport Document
collect_hu117;Collect Goods
load_truck_hu112;Load Truck
load_truck_hu114;Load Truck
collect_hu115;Collect Goods
load_truck_hu113;Load Truck
load_truck_hu117;Load Truck
load_truck_hu109;Load Truck
load_truck_hu111;Load Truck
load_truck_hu110;Load Truck
load_truck_hu106;Load Truck
load_truck_hu115;Load Truck
collect_hu116;Collect Goods
book_vehs_td18;Book Vehicles
load_truck_hu116;Load Truck
load_truck_hu108;Load Truck
pick_cr30;Pick Up Empty Container
collect_hu119;Collect Goods
pick_cr20;Pick Up Empty Container
pick_cr10;Pick Up Empty Container
pick_cr50;Pick Up Empty Container
collect_hu123;Collect Goods
to_bay_cr8;Bring to Loading Bay
to_bay_cr6;Bring to Loading Bay
to_bay_cr7;Bring to Loading Bay
load_veh_cr8;Load to Vehicle
collect_hu118;Collect Goods
to_bay_cr26;Bring to Loading Bay
collect_hu132;Collect Goods
load_veh_cr7;Load to Vehicle
load_truck_hu107;Load Truck
create_td19;Create Transport Document
load_truck_hu123;Load Truck
load_truck_hu119;Load Truck
load_truck_hu118;Load Truck
collect_hu125;Collect Goods
load_truck_hu132;Load Truck
collect_hu127;Collect Goods
load_truck_hu125;Load Truck
collect_hu122;Collect Goods
load_truck_hu127;Load Truck
to_bay_cr28;Bring to Loading Bay
load_veh_cr26;Load to Vehicle
load_veh_cr6;Load to Vehicle
load_veh_cr28;Load to Vehicle
drive_term_cr48;Drive to Terminal
pick_cr49;Pick Up Empty Container
book_vehs_td19;Book Vehicles
weigh_cr48;Weigh
to_bay_cr48;Bring to Loading Bay
load_veh_cr48;Load to Vehicle
load_truck_hu122;Load Truck
collect_hu136;Collect Goods
collect_hu139;Collect Goods
load_truck_hu136;Load Truck
collect_hu134;Collect Goods
order_crs_td18;Order Empty Containers
load_truck_hu139;Load Truck
drive_term_cr27;Drive to Terminal
pick_cr43;Pick Up Empty Container
weigh_cr27;Weigh
to_bay_cr27;Bring to Loading Bay
load_veh_cr27;Load to Vehicle
reg_co26;Register Customer Order
collect_hu145;Collect Goods
collect_hu128;Collect Goods
load_truck_hu145;Load Truck
load_truck_hu134;Load Truck
collect_hu131;Collect Goods
load_truck_hu128;Load Truck
collect_hu133;Collect Goods
load_truck_hu131;Load Truck
collect_hu124;Collect Goods
load_truck_hu133;Load Truck
load_truck_hu124;Load Truck
collect_hu120;Collect Goods
collect_hu141;Collect Goods
load_truck_hu120;Load Truck
collect_hu140;Collect Goods
load_truck_hu141;Load Truck
load_truck_hu140;Load Truck
collect_hu144;Collect Goods
load_truck_hu144;Load Truck
collect_hu135;Collect Goods
load_truck_hu135;Load Truck
collect_hu121;Collect Goods
load_truck_hu121;Load Truck
collect_hu130;Collect Goods
collect_hu126;Collect Goods
load_truck_hu130;Load Truck
load_truck_hu126;Load Truck
collect_hu138;Collect Goods
collect_hu142;Collect Goods
load_truck_hu138;Load Truck
collect_hu143;Collect Goods
load_truck_hu142;Load Truck
collect_hu137;Collect Goods
load_truck_hu143;Load Truck
load_truck_hu137;Load Truck
collect_hu129;Collect Goods
load_truck_hu129;Load Truck
drive_term_cr43;Drive to Terminal
collect_hu146;Collect Goods
pick_cr52;Pick Up Empty Container
drive_term_cr50;Drive to Terminal
pick_cr42;Pick Up Empty Container
collect_hu152;Collect Goods
weigh_cr43;Weigh
weigh_cr50;Weigh
create_td20;Create Transport Document
drive_term_cr30;Drive to Terminal
pick_cr38;Pick Up Empty Container
weigh_cr30;Weigh
stock_cr30;Place in Stock
drive_term_cr20;Drive to Terminal
pick_cr54;Pick Up Empty Container
order_crs_td19;Order Empty Containers
weigh_cr20;Weigh
stock_cr20;Place in Stock
stock_cr50;Place in Stock
stock_cr43;Place in Stock
collect_hu154;Collect Goods
collect_hu153;Collect Goods
collect_hu163;Collect Goods
create_td21;Create Transport Document
collect_hu167;Collect Goods
load_truck_hu146;Load Truck
load_truck_hu154;Load Truck
reg_co27;Register Customer Order
collect_hu160;Collect Goods
load_truck_hu153;Load Truck
load_truck_hu152;Load Truck
collect_hu149;Collect Goods
drive_term_cr49;Drive to Terminal
pick_cr34;Pick Up Empty Container
book_vehs_td21;Book Vehicles
weigh_cr49;Weigh
load_truck_hu149;Load Truck
collect_hu166;Collect Goods
stock_cr49;Place in Stock
drive_term_cr10;Drive to Terminal
pick_cr35;Pick Up Empty Container
weigh_cr10;Weigh
book_vehs_td20;Book Vehicles
stock_cr10;Place in Stock
collect_hu147;Collect Goods
collect_hu169;Collect Goods
load_truck_hu147;Load Truck
collect_hu173;Collect Goods
load_truck_hu163;Load Truck
collect_hu177;Collect Goods
load_truck_hu160;Load Truck
collect_hu162;Collect Goods
collect_hu164;Collect Goods
load_truck_hu162;Load Truck
collect_hu158;Collect Goods
load_truck_hu167;Load Truck
load_truck_hu164;Load Truck
load_truck_hu169;Load Truck
load_truck_hu158;Load Truck
collect_hu175;Collect Goods
load_truck_hu166;Load Truck
create_td22;Create Transport Document
order_crs_td20;Order Empty Containers
collect_hu151;Collect Goods
load_truck_hu175;Load Truck
load_truck_hu173;Load Truck
load_truck_hu177;Load Truck
order_crs_td21;Order Empty Containers
book_vehs_td22;Book Vehicles
collect_hu171;Collect Goods
load_truck_hu151;Load Truck
load_truck_hu171;Load Truck
collect_hu150;Collect Goods
reg_co28;Register Customer Order
load_truck_hu150;Load Truck
collect_hu178;Collect Goods
load_truck_hu178;Load Truck
collect_hu157;Collect Goods
collect_hu172;Collect Goods
load_truck_hu157;Load Truck
collect_hu165;Collect Goods
load_truck_hu172;Load Truck
create_td23;Create Transport Document
book_vehs_td23;Book Vehicles
collect_hu159;Collect Goods
load_truck_hu165;Load Truck
load_truck_hu159;Load Truck
collect_hu176;Collect Goods
load_truck_hu176;Load Truck
collect_hu156;Collect Goods
collect_hu174;Collect Goods
load_truck_hu156;Load Truck
load_truck_hu174;Load Truck
collect_hu148;Collect Goods
load_truck_hu148;Load Truck
collect_hu168;Collect Goods
load_truck_hu168;Load Truck
collect_hu170;Collect Goods
collect_hu155;Collect Goods
load_truck_hu170;Load Truck
drive_term_cr35;Drive to Terminal
pick_cr56;Pick Up Empty Container
weigh_cr35;Weigh
load_truck_hu155;Load Truck
collect_hu184;Collect Goods
collect_hu183;Collect Goods
stock_cr35;Place in Stock
collect_hu182;Collect Goods
drive_term_cr52;Drive to Terminal
pick_cr39;Pick Up Empty Container
collect_hu187;Collect Goods
weigh_cr52;Weigh
stock_cr52;Place in Stock
collect_hu186;Collect Goods
drive_term_cr42;Drive to Terminal
pick_cr51;Pick Up Empty Container
collect_hu191;Collect Goods
weigh_cr42;Weigh
stock_cr42;Place in Stock
load_truck_hu184;Load Truck
collect_hu192;Collect Goods
load_truck_hu183;Load Truck
collect_hu161;Collect Goods
collect_hu189;Collect Goods
load_truck_hu161;Load Truck
load_truck_hu182;Load Truck
load_truck_hu186;Load Truck
collect_hu180;Collect Goods
load_truck_hu187;Load Truck
load_truck_hu189;Load Truck
collect_hu181;Collect Goods
load_truck_hu180;Load Truck
collect_hu193;Collect Goods
collect_hu179;Collect Goods
drive_term_cr34;Drive to Terminal
pick_cr41;Pick Up Empty Container
drive_term_cr54;Drive to Terminal
pick_cr9;Pick Up Empty Container
weigh_cr34;Weigh
stock_cr34;Place in Stock
weigh_cr54;Weigh
stock_cr54;Place in Stock
load_truck_hu191;Load Truck
load_truck_hu193;Load Truck
load_truck_hu192;Load Truck
load_truck_hu181;Load Truck
drive_term_cr38;Drive to Terminal
pick_cr29;Pick Up Empty Container
collect_hu185;Collect Goods
depart_vh3;Depart
reg_co29;Register Customer Order
order_crs_td22;Order Empty Containers
weigh_cr38;Weigh
load_truck_hu179;Load Truck
collect_hu213;Collect Goods
load_truck_hu185;Load Truck
order_crs_td23;Order Empty Containers
collect_hu200;Collect Goods
load_truck_hu213;Load Truck
collect_hu206;Collect Goods
load_truck_hu200;Load Truck
load_truck_hu206;Load Truck
collect_hu202;Collect Goods
collect_hu188;Collect Goods
load_truck_hu202;Load Truck
collect_hu201;Collect Goods
load_truck_hu188;Load Truck
create_td24;Create Transport Document
collect_hu211;Collect Goods
load_truck_hu201;Load Truck
collect_hu196;Collect Goods
load_truck_hu211;Load Truck
collect_hu209;Collect Goods
load_truck_hu196;Load Truck
book_vehs_td24;Book Vehicles
collect_hu194;Collect Goods
load_truck_hu209;Load Truck
collect_hu210;Collect Goods
load_truck_hu194;Load Truck
collect_hu208;Collect Goods
load_truck_hu210;Load Truck
load_truck_hu208;Load Truck
collect_hu205;Collect Goods
order_crs_td24;Order Empty Containers
collect_hu203;Collect Goods
load_truck_hu205;Load Truck
load_truck_hu203;Load Truck
collect_hu204;Collect Goods
load_truck_hu204;Load Truck
collect_hu190;Collect Goods
stock_cr38;Place in Stock
drive_term_cr56;Drive to Terminal
pick_cr15;Pick Up Empty Container
weigh_cr56;Weigh
stock_cr56;Place in Stock
reg_co30;Register Customer Order
load_truck_hu190;Load Truck
collect_hu195;Collect Goods
create_td25;Create Transport Document
collect_hu216;Collect Goods
load_truck_hu195;Load Truck
collect_hu214;Collect Goods
load_truck_hu216;Load Truck
collect_hu199;Collect Goods
load_truck_hu214;Load Truck
load_truck_hu199;Load Truck
collect_hu217;Collect Goods
collect_hu207;Collect Goods
load_truck_hu217;Load Truck
collect_hu198;Collect Goods
load_truck_hu207;Load Truck
load_truck_hu198;Load Truck
collect_hu212;Collect Goods
drive_term_cr51;Drive to Terminal
pick_cr44;Pick Up Empty Container
weigh_cr51;Weigh
book_vehs_td25;Book Vehicles
collect_hu219;Collect Goods
load_truck_hu212;Load Truck
stock_cr51;Place in Stock
create_td26;Create Transport Document
collect_hu222;Collect Goods
load_truck_hu219;Load Truck
drive_term_cr9;Drive to Terminal
pick_cr69;Pick Up Empty Container
weigh_cr9;Weigh
collect_hu221;Collect Goods
drive_term_cr29;Drive to Terminal
stock_cr9;Place in Stock
collect_hu215;Collect Goods
weigh_cr29;Weigh
load_truck_hu215;Load Truck
collect_hu197;Collect Goods
to_bay_cr29;Bring to Loading Bay
load_truck_hu221;Load Truck
resch_cr_cr29;Reschedule Container
collect_hu224;Collect Goods
load_truck_hu197;Load Truck
load_truck_hu222;Load Truck
collect_hu226;Collect Goods
create_td27;Create Transport Document
drive_term_cr39;Drive to Terminal
book_vehs_td26;Book Vehicles
collect_hu229;Collect Goods
weigh_cr39;Weigh
collect_hu228;Collect Goods
load_truck_hu226;Load Truck
stock_cr39;Place in Stock
collect_hu220;Collect Goods
load_truck_hu229;Load Truck
collect_hu218;Collect Goods
load_truck_hu220;Load Truck
drive_term_cr41;Drive to Terminal
weigh_cr41;Weigh
load_truck_hu228;Load Truck
load_truck_hu218;Load Truck
collect_hu225;Collect Goods
collect_hu227;Collect Goods
load_truck_hu225;Load Truck
load_truck_hu224;Load Truck
collect_hu223;Collect Goods
load_truck_hu223;Load Truck
load_truck_hu227;Load Truck
collect_hu230;Collect Goods
pick_cr59;Pick Up Empty Container
stock_cr41;Place in Stock
reg_co31;Register Customer Order
pick_cr37;Pick Up Empty Container
pick_cr71;Pick Up Empty Container
collect_hu233;Collect Goods
collect_hu236;Collect Goods
order_crs_td25;Order Empty Containers
load_truck_hu236;Load Truck
collect_hu243;Collect Goods
collect_hu238;Collect Goods
load_truck_hu243;Load Truck
load_truck_hu238;Load Truck
collect_hu242;Collect Goods
drive_term_cr15;Drive to Terminal
pick_cr60;Pick Up Empty Container
collect_hu252;Collect Goods
load_truck_hu242;Load Truck
weigh_cr15;Weigh
stock_cr15;Place in Stock
order_crs_td26;Order Empty Containers
collect_hu237;Collect Goods
load_truck_hu233;Load Truck
load_truck_hu230;Load Truck
collect_hu249;Collect Goods
load_truck_hu237;Load Truck
collect_hu246;Collect Goods
load_truck_hu246;Load Truck
collect_hu239;Collect Goods
collect_hu232;Collect Goods
load_truck_hu239;Load Truck
drive_term_cr44;Drive to Terminal
pick_cr46;Pick Up Empty Container
weigh_cr44;Weigh
book_vehs_td27;Book Vehicles
stock_cr44;Place in Stock
load_truck_hu252;Load Truck
load_truck_hu249;Load Truck
drive_term_cr69;Drive to Terminal
pick_cr75;Pick Up Empty Container
load_truck_hu232;Load Truck
collect_hu256;Collect Goods
load_truck_hu256;Load Truck
collect_hu255;Collect Goods
load_truck_hu255;Load Truck
collect_hu231;Collect Goods
collect_hu259;Collect Goods
load_truck_hu231;Load Truck
collect_hu253;Collect Goods
load_truck_hu259;Load Truck
collect_hu250;Collect Goods
load_truck_hu253;Load Truck
collect_hu245;Collect Goods
load_truck_hu250;Load Truck
collect_hu240;Collect Goods
load_truck_hu245;Load Truck
collect_hu234;Collect Goods
load_truck_hu240;Load Truck
collect_hu258;Collect Goods
load_truck_hu234;Load Truck
load_truck_hu258;Load Truck
collect_hu251;Collect Goods
load_truck_hu251;Load Truck
collect_hu260;Collect Goods
collect_hu261;Collect Goods
collect_hu247;Collect Goods
collect_hu254;Collect Goods
load_truck_hu247;Load Truck
collect_hu257;Collect Goods
load_truck_hu254;Load Truck
collect_hu241;Collect Goods
load_truck_hu257;Load Truck
collect_hu235;Collect Goods
load_truck_hu241;Load Truck
weigh_cr69;Weigh
order_crs_td27;Order Empty Containers
load_truck_hu235;Load Truck
collect_hu244;Collect Goods
drive_term_cr46;Drive to Terminal
pick_cr25;Pick Up Empty Container
stock_cr69;Place in Stock
reg_co32;Register Customer Order
load_truck_hu261;Load Truck
create_td28;Create Transport Document
create_td29;Create Transport Document
load_truck_hu260;Load Truck
drive_term_cr75;Drive to Terminal
pick_cr74;Pick Up Empty Container
weigh_cr75;Weigh
stock_cr75;Place in Stock
load_truck_hu244;Load Truck
collect_hu266;Collect Goods
book_vehs_td29;Book Vehicles
weigh_cr46;Weigh
stock_cr46;Place in Stock
drive_term_cr37;Drive to Terminal
pick_cr82;Pick Up Empty Container
weigh_cr37;Weigh
stock_cr37;Place in Stock
collect_hu277;Collect Goods
create_td30;Create Transport Document
book_vehs_td28;Book Vehicles
drive_term_cr59;Drive to Terminal
pick_cr18;Pick Up Empty Container
weigh_cr59;Weigh
drive_term_cr71;Drive to Terminal
pick_cr79;Pick Up Empty Container
weigh_cr71;Weigh
stock_cr71;Place in Stock
stock_cr59;Place in Stock
load_truck_hu266;Load Truck
reg_co33;Register Customer Order
collect_hu264;Collect Goods
load_truck_hu264;Load Truck
collect_hu280;Collect Goods
collect_hu263;Collect Goods
load_truck_hu280;Load Truck
load_truck_hu263;Load Truck
collect_hu267;Collect Goods
load_truck_hu267;Load Truck
collect_hu262;Collect Goods
load_truck_hu262;Load Truck
collect_hu281;Collect Goods
collect_hu279;Collect Goods
load_truck_hu281;Load Truck
collect_hu270;Collect Goods
load_truck_hu279;Load Truck
collect_hu274;Collect Goods
load_truck_hu270;Load Truck
collect_hu284;Collect Goods
collect_hu278;Collect Goods
load_truck_hu284;Load Truck
collect_hu272;Collect Goods
load_truck_hu272;Load Truck
collect_hu248;Collect Goods
load_truck_hu248;Load Truck
collect_hu268;Collect Goods
load_truck_hu278;Load Truck
load_truck_hu268;Load Truck
collect_hu269;Collect Goods
load_truck_hu277;Load Truck
load_truck_hu274;Load Truck
load_truck_hu269;Load Truck
collect_hu287;Collect Goods
load_truck_hu287;Load Truck
collect_hu285;Collect Goods
order_crs_td29;Order Empty Containers
collect_hu275;Collect Goods
load_truck_hu285;Load Truck
book_vehs_td30;Book Vehicles
drive_term_cr60;Drive to Terminal
pick_cr101;Pick Up Empty Container
load_truck_hu275;Load Truck
collect_hu291;Collect Goods
collect_hu276;Collect Goods
weigh_cr60;Weigh
reg_co34;Register Customer Order
to_bay_cr5;Bring to Loading Bay
to_bay_cr2;Bring to Loading Bay
load_veh_cr5;Load to Vehicle
load_veh_cr2;Load to Vehicle
to_bay_cr4;Bring to Loading Bay
load_truck_hu276;Load Truck
collect_hu282;Collect Goods
collect_hu294;Collect Goods
load_truck_hu282;Load Truck
stock_cr60;Place in Stock
to_bay_cr3;Bring to Loading Bay
collect_hu273;Collect Goods
load_veh_cr4;Load to Vehicle
to_bay_cr56;Bring to Loading Bay
load_truck_hu273;Load Truck
collect_hu283;Collect Goods
to_bay_cr1;Bring to Loading Bay
