ocel_id;ocel_time;ocel_changed_field;Amount of Goods
co104;2023-07-17 14:35:07;;500
co105;2023-07-17 18:57:31;;1400
co106;2023-07-18 12:12:19;;700
co107;2023-07-18 16:11:55;;400
co108;2023-07-18 21:10:20;;550
co109;2023-07-19 12:27:37;;950
co110;2023-07-19 16:42:31;;400
co111;2023-07-20 09:42:08;;450
co112;2023-07-20 14:11:33;;1400
co113;2023-07-20 18:10:23;;950
co114;2023-07-21 11:28:29;;1400
co115;2023-07-21 17:21:40;;300
co116;2023-07-24 10:48:07;;1500
co117;2023-07-24 15:23:31;;700
co118;2023-07-24 19:45:08;;1050
co119;2023-07-25 12:24:59;;1250
co120;2023-07-25 16:37:15;;1500
co121;2023-07-26 09:26:20;;600
co122;2023-07-26 13:39:57;;1250
co123;2023-07-26 18:07:11;;1500
co124;2023-07-27 10:31:39;;1050
co125;2023-07-27 14:50:35;;1300
co126;2023-07-27 19:28:27;;500
co127;2023-07-28 13:17:45;;1350
co128;2023-07-28 19:00:12;;1150
co129;2023-07-31 11:35:33;;400
co130;2023-07-31 15:58:23;;1300
co131;2023-07-31 21:29:44;;1050
co132;2023-08-01 12:47:01;;350
co133;2023-08-01 17:21:19;;1300
co134;2023-08-02 09:59:55;;1500
co135;2023-08-02 14:47:07;;500
co136;2023-08-02 19:21:31;;750
co137;2023-08-03 11:49:34;;700
co138;2023-08-03 16:26:25;;1050
co139;2023-08-04 09:05:34;;300
co140;2023-08-04 14:35:50;;1400
co141;2023-08-07 08:36:35;;1450
co142;2023-08-07 13:12:10;;900
co143;2023-08-07 17:11:37;;1150
co144;2023-08-08 09:40:31;;350
co145;2023-08-08 14:08:19;;1250
co146;2023-08-08 18:03:55;;1300
co147;2023-08-09 10:25:07;;1000
co148;2023-08-09 14:37:31;;1350
co149;2023-08-09 19:02:19;;950
co150;2023-08-10 11:20:46;;750
co151;2023-08-10 15:28:49;;850
co152;2023-08-10 20:01:02;;800
co153;2023-08-11 13:13:37;;1250
co154;2023-08-11 18:51:56;;800
co155;2023-08-14 12:21:34;;400
co156;2023-08-14 16:30:25;;950
co157;2023-08-15 09:05:50;;1100
co158;2023-08-15 12:58:57;;700
co159;2023-08-15 17:45:11;;1450
co160;2023-08-16 10:47:39;;1200
co161;2023-08-16 15:22:35;;1050
co162;2023-08-16 19:42:20;;550
co163;2023-08-17 12:20:47;;800
co164;2023-08-17 16:28:51;;950
co165;2023-08-18 09:14:58;;1250
co166;2023-08-18 14:54:38;;1350
co167;2023-08-21 09:21:42;;300
co168;2023-08-21 13:30:41;;1500
co169;2023-08-21 17:48:39;;1300
co170;2023-08-22 10:54:35;;650
co171;2023-08-22 15:36:27;;1250
co172;2023-08-22 20:23:56;;950
co173;2023-08-23 12:23:11;;1500
co174;2023-08-23 16:33:39;;900
co175;2023-08-24 09:15:32;;1050
co176;2023-08-24 13:18:21;;1050
co177;2023-08-24 17:23:59;;1200
co178;2023-08-25 10:35:48;;350
co179;2023-08-25 16:36:18;;850
co180;2023-08-28 10:31:00;;1100
co181;2023-08-28 14:49:17;;350
co182;2023-08-28 19:25:51;;650
co183;2023-08-29 11:56:04;;300
co184;2023-08-29 16:39:25;;1050
co185;2023-08-30 09:32:50;;900
co186;2023-08-30 13:52:57;;750
co187;2023-08-30 18:33:11;;550
co188;2023-08-31 11:23:39;;1300
co189;2023-08-31 15:34:35;;1450
co190;2023-08-31 20:18:20;;850
co191;2023-09-01 13:43:16;;950
co192;2023-09-01 19:59:12;;1500
co193;2023-09-04 12:55:12;;600
co194;2023-09-04 17:37:41;;1150
co195;2023-09-05 10:32:39;;900
co196;2023-09-05 14:52:35;;600
co197;2023-09-05 19:32:27;;1000
co198;2023-09-06 12:05:58;;950
co199;2023-09-06 15:59:13;;1100
co200;2023-09-06 21:32:14;;800
co201;2023-09-07 12:49:31;;450
co202;2023-09-07 17:26:19;;600
co203;2023-09-08 10:41:28;;550
co204;2023-09-08 16:47:38;;900
co205;2023-09-11 10:50:16;;1000
co206;2023-09-11 15:27:49;;600
co207;2023-09-11 19:58:02;;350
co208;2023-09-12 12:44:20;;300
co209;2023-09-12 17:15:57;;1050
co210;2023-09-13 09:49:11;;1350
co211;2023-09-13 14:25:39;;500
co212;2023-09-13 18:38:35;;400
co213;2023-09-14 11:34:27;;650
co214;2023-09-14 15:56:11;;1250
co215;2023-09-14 21:23:08;;1250
co216;2023-09-15 14:17:50;;900
co217;2023-09-15 20:42:54;;1250
co218;2023-09-18 12:54:12;;1350
co219;2023-09-18 17:35:41;;950
co220;2023-09-19 10:28:39;;850
co221;2023-09-19 14:44:35;;750
co222;2023-09-19 19:16:27;;450
co223;2023-09-20 11:41:58;;1500
co224;2023-09-20 16:11:13;;850
co225;2023-09-20 21:08:14;;300
co226;2023-09-21 12:25:31;;950
co227;2023-09-21 16:38:19;;550
co228;2023-09-22 09:44:54;;750
co229;2023-09-22 15:54:30;;1150
co230;2023-09-25 10:19:56;;400
co231;2023-09-25 14:27:09;;450
co232;2023-09-25 18:41:35;;600
co233;2023-09-26 11:40:27;;650
co234;2023-09-26 16:08:11;;1200
co235;2023-09-26 20:59:08;;450
co236;2023-09-27 13:15:59;;1100
co237;2023-09-27 17:19:15;;300
co238;2023-09-28 09:55:47;;300
co239;2023-09-28 14:38:51;;1250
co240;2023-09-28 19:04:59;;300
co241;2023-09-29 12:37:32;;550
co242;2023-09-29 18:39:46;;900
co243;2023-10-02 12:00:53;;1200
co244;2023-10-02 15:49:03;;800
co245;2023-10-02 21:01:44;;400
co246;2023-10-03 12:19:01;;300
co247;2023-10-03 16:25:19;;800
co248;2023-10-04 08:50:32;;1100
co249;2023-10-04 13:33:05;;300
co250;2023-10-04 17:53:27;;550
co251;2023-10-05 11:04:11;;450
co252;2023-10-05 14:55:39;;900
co253;2023-10-05 19:38:35;;850
co254;2023-10-06 13:35:08;;1100
co255;2023-10-06 19:34:58;;850
co256;2023-10-09 12:22:30;;1000
co257;2023-10-09 16:32:17;;1450
co258;2023-10-10 09:11:26;;1000
co259;2023-10-10 13:10:09;;350
co260;2023-10-10 17:07:35;;1250
co261;2023-10-11 09:32:27;;700
co262;2023-10-11 13:52:11;;1250
co263;2023-10-11 18:31:39;;550
co264;2023-10-12 11:20:35;;300
co265;2023-10-12 15:28:27;;1350
co266;2023-10-12 19:59:56;;1500
co267;2023-10-13 14:11:44;;350
co268;2023-10-13 20:24:36;;1450
co269;2023-10-16 12:29:30;;350
co270;2023-10-16 16:46:17;;350
co271;2023-10-17 09:49:51;;700
co272;2023-10-17 14:26:59;;900
co273;2023-10-17 18:41:15;;850
co274;2023-10-18 11:39:47;;900
co275;2023-10-18 16:06:51;;600
co276;2023-10-18 20:55:08;;1400
co277;2023-10-19 13:09:59;;850
co278;2023-10-19 17:07:15;;1450
co279;2023-10-20 09:55:10;;1350
co280;2023-10-20 16:15:02;;950
co281;2023-10-23 09:54:51;;450
co282;2023-10-23 14:36:59;;800
co283;2023-10-23 19:01:15;;1200
co284;2023-10-24 11:19:10;;1150
co285;2023-10-24 15:25:37;;600
co286;2023-10-24 19:51:26;;1000
co287;2023-10-25 12:34:26;;300
co288;2023-10-25 16:56:09;;350
co289;2023-10-26 10:09:35;;550
co290;2023-10-26 14:06:27;;1300
co291;2023-10-26 18:00:11;;1150
co292;2023-10-27 11:03:43;;1450
co293;2023-10-27 16:32:08;;400
co294;2023-10-30 10:23:55;;750
co295;2023-10-30 14:35:07;;1100
co296;2023-10-30 18:57:31;;400
co297;2023-10-31 12:12:19;;1100
co298;2023-10-31 16:11:55;;400
co299;2023-10-31 21:10:20;;900
co300;2023-11-01 12:27:37;;900
co301;2023-11-01 16:42:31;;1050
co302;2023-11-02 09:42:08;;1400
co303;2023-11-02 14:11:33;;350
co304;2023-11-02 18:10:23;;1100
co305;2023-11-03 11:28:29;;600
co306;2023-11-03 17:21:40;;700
co307;2023-11-06 10:48:07;;350
co308;2023-11-06 15:23:31;;350
co309;2023-11-06 19:45:08;;1050
co310;2023-11-07 12:24:59;;400
co311;2023-11-07 16:37:15;;1350
co312;2023-11-08 09:26:20;;350
co313;2023-11-08 13:39:57;;600
co314;2023-11-08 18:07:11;;550
co315;2023-11-09 10:31:39;;1450
co316;2023-11-09 14:50:35;;1350
co317;2023-11-09 19:28:27;;750
co318;2023-11-10 13:17:45;;700
co319;2023-11-10 19:00:12;;700
co320;2023-11-13 11:35:33;;500
co321;2023-11-13 15:58:23;;300
co322;2023-11-13 21:29:44;;400
co323;2023-11-14 12:47:01;;800
co324;2023-11-14 17:21:19;;1150
co325;2023-11-15 09:59:55;;350
co326;2023-11-15 14:47:07;;700
co327;2023-11-15 19:21:31;;1250
co328;2023-11-16 11:49:34;;1050
co329;2023-11-16 16:26:25;;1050
co330;2023-11-17 09:05:34;;800
co331;2023-11-17 14:35:50;;1500
co332;2023-11-20 08:36:35;;650
co333;2023-11-20 13:12:10;;900
co334;2023-11-20 17:11:37;;350
co335;2023-11-21 09:40:31;;1100
co336;2023-11-21 14:08:19;;1250
co337;2023-11-21 18:03:55;;650
co338;2023-11-22 10:25:07;;750
co339;2023-11-22 14:37:31;;300
co340;2023-11-22 19:02:19;;350
co341;2023-11-23 11:20:46;;1150
co342;2023-11-23 15:28:49;;650
co343;2023-11-23 20:01:02;;450
co344;2023-11-24 13:13:37;;1000
co345;2023-11-24 18:51:56;;1400
co346;2023-11-27 12:21:34;;1300
co347;2023-11-27 16:30:25;;600
co348;2023-11-28 09:05:50;;900
co349;2023-11-28 12:58:57;;350
co350;2023-11-28 17:45:11;;400
co351;2023-11-29 10:47:39;;600
co352;2023-11-29 15:22:35;;1250
co353;2023-11-29 19:42:20;;1350
co354;2023-11-30 12:20:47;;800
co355;2023-11-30 16:28:51;;1300
co356;2023-12-01 09:14:58;;1450
co357;2023-12-01 14:54:38;;1200
co358;2023-12-04 09:21:42;;650
co359;2023-12-04 13:30:41;;800
co360;2023-12-04 17:48:39;;1400
co361;2023-12-05 10:54:35;;450
co362;2023-12-05 15:36:27;;1350
co363;2023-12-05 20:23:56;;300
co364;2023-12-06 12:23:11;;1500
co365;2023-12-06 16:33:39;;600
co366;2023-12-07 09:15:32;;900
co367;2023-12-07 13:18:21;;1150
co368;2023-12-07 17:23:59;;550
co369;2023-12-08 10:35:48;;1300
co370;2023-12-08 16:36:18;;750
co371;2023-12-11 10:31:00;;1250
co372;2023-12-11 14:49:17;;350
co373;2023-12-11 19:25:51;;1450
co374;2023-12-12 11:56:04;;900
co375;2023-12-12 16:39:25;;650
co376;2023-12-13 09:32:50;;1500
co377;2023-12-13 13:52:57;;650
co378;2023-12-13 18:33:11;;1050
co379;2023-12-14 11:23:39;;1350
co380;2023-12-14 15:34:35;;1050
co381;2023-12-14 20:18:20;;850
co382;2023-12-15 13:43:16;;450
co383;2023-12-15 19:59:12;;1450
co384;2023-12-18 12:55:12;;800
co385;2023-12-18 17:37:41;;950
co386;2023-12-19 10:32:39;;400
co387;2023-12-19 14:52:35;;600
co388;2023-12-19 19:32:27;;1200
co389;2023-12-20 12:05:58;;500
co390;2023-12-20 15:59:13;;300
co391;2023-12-20 21:32:14;;1050
co392;2023-12-21 12:49:31;;1050
co393;2023-12-21 17:26:19;;1350
co394;2023-12-22 10:41:28;;950
co395;2023-12-22 16:47:38;;950
co396;2023-12-25 10:50:16;;650
co397;2023-12-25 15:27:49;;750
co398;2023-12-25 19:58:02;;500
co399;2023-12-26 12:44:20;;1150
co400;2023-12-26 17:15:57;;750
co401;2023-12-27 09:49:11;;1100
co402;2023-12-27 14:25:39;;450
co403;2023-12-27 18:38:35;;1300
co404;2023-12-28 11:34:27;;800
co405;2023-12-28 15:56:11;;1150
co406;2023-12-28 21:23:08;;700
co407;2023-12-29 14:17:50;;900
co408;2023-12-29 20:42:54;;1150
co409;2024-01-01 12:54:12;;800
co410;2024-01-01 17:35:41;;600
co411;2024-01-02 10:28:39;;600
co412;2024-01-02 14:44:35;;1100
co413;2024-01-02 19:16:27;;1500
co414;2024-01-03 11:41:58;;850
co415;2024-01-03 16:11:13;;1350
co416;2024-01-03 21:08:14;;500
co417;2024-01-04 12:25:31;;1100
co418;2024-01-04 16:38:19;;950
co419;2024-01-05 09:44:54;;1100
co420;2024-01-05 15:54:30;;600
co421;2024-01-08 10:19:56;;550
co422;2024-01-08 14:27:09;;350
co423;2024-01-08 18:41:35;;800
co424;2024-01-09 11:40:27;;1450
co425;2024-01-09 16:08:11;;1000
co426;2024-01-09 20:59:08;;1500
co427;2024-01-10 13:15:59;;850
co428;2024-01-10 17:19:15;;1000
co429;2024-01-11 09:55:47;;1350
co430;2024-01-11 14:38:51;;500
co431;2024-01-11 19:04:59;;700
co432;2024-01-12 12:37:32;;350
co433;2024-01-12 18:39:46;;700
co434;2024-01-15 12:00:53;;400
co435;2024-01-15 15:49:03;;550
co436;2024-01-15 21:01:44;;500
co437;2024-01-16 12:19:01;;1000
co438;2024-01-16 16:25:19;;500
co439;2024-01-17 08:50:32;;350
co440;2024-01-17 13:33:05;;1050
co441;2024-01-17 17:53:27;;1000
co442;2024-01-18 11:04:11;;750
co443;2024-01-18 14:55:39;;1200
co444;2024-01-18 19:38:35;;750
co445;2024-01-19 13:35:08;;1400
co446;2024-01-19 19:34:58;;650
co447;2024-01-22 12:22:30;;900
co448;2024-01-22 16:32:17;;1350
co449;2024-01-23 09:11:26;;300
co450;2024-01-23 13:10:09;;1050
co451;2024-01-23 17:07:35;;1200
co452;2024-01-24 09:32:27;;450
co453;2024-01-24 13:52:11;;1450
co454;2024-01-24 18:31:39;;1250
co455;2024-01-25 11:20:35;;1350
co456;2024-01-25 15:28:27;;1150
co457;2024-01-25 19:59:56;;1350
co458;2024-01-26 14:11:44;;900
co459;2024-01-26 20:24:36;;600
co460;2024-01-29 12:29:30;;900
co461;2024-01-29 16:46:17;;600
co462;2024-01-30 09:49:51;;750
co463;2024-01-30 14:26:59;;1300
co464;2024-01-30 18:41:15;;1500
co465;2024-01-31 11:39:47;;1200
co466;2024-01-31 16:06:51;;1000
co467;2024-01-31 20:55:08;;550
co468;2024-02-01 13:09:59;;800
co469;2024-02-01 17:07:15;;300
co470;2024-02-02 09:55:10;;500
co471;2024-02-02 16:15:02;;700
co472;2024-02-05 09:54:51;;1450
co473;2024-02-05 14:36:59;;950
co474;2024-02-05 19:01:15;;550
co475;2024-02-06 11:19:10;;1250
co476;2024-02-06 15:25:37;;1350
co477;2024-02-06 19:51:26;;1000
co478;2024-02-07 12:34:26;;950
co479;2024-02-07 16:56:09;;1150
co480;2024-02-08 10:09:35;;1350
co481;2024-02-08 14:06:27;;1300
co482;2024-02-08 18:00:11;;550
co483;2024-02-09 11:03:43;;1100
co484;2024-02-09 16:32:08;;1000
co485;2024-02-12 10:23:55;;1250
co486;2024-02-12 14:35:07;;1350
co487;2024-02-12 18:57:31;;750
co488;2024-02-13 12:12:19;;1200
co489;2024-02-13 16:11:55;;1050
co490;2024-02-13 21:10:20;;1150
co491;2024-02-14 12:27:37;;900
co492;2024-02-14 16:42:31;;400
co493;2024-02-15 09:42:08;;1250
co494;2024-02-15 14:11:33;;1200
co495;2024-02-15 18:10:23;;850
co496;2024-02-16 11:28:29;;350
co497;2024-02-16 17:21:40;;850
co498;2024-02-19 10:48:07;;950
co499;2024-02-19 15:23:31;;1000
co500;2024-02-19 19:45:08;;400
co501;2024-02-20 12:24:59;;1300
co502;2024-02-20 16:37:15;;450
co503;2024-02-21 09:26:20;;1400
co504;2024-02-21 13:39:57;;550
co505;2024-02-21 18:07:11;;700
co506;2024-02-22 10:31:39;;750
co507;2024-02-22 14:50:35;;850
co508;2024-02-22 19:28:27;;1450
co509;2024-02-23 13:17:45;;750
co510;2024-02-23 19:00:12;;1150
co511;2024-02-26 11:35:33;;1150
co512;2024-02-26 15:58:23;;1000
co513;2024-02-26 21:29:44;;1400
co514;2024-02-27 12:47:01;;400
co515;2024-02-27 17:21:19;;700
co516;2024-02-28 09:59:55;;1100
co517;2024-02-28 14:47:07;;550
co518;2024-02-28 19:21:31;;350
co519;2024-02-29 11:49:34;;650
co520;2024-02-29 16:26:25;;850
co521;2024-03-01 09:05:34;;1250
co522;2024-03-01 14:35:50;;1050
co523;2024-03-04 08:36:35;;700
co524;2024-03-04 13:12:10;;650
co525;2024-03-04 17:11:37;;650
co526;2024-03-05 09:40:31;;500
co527;2024-03-05 14:08:19;;950
co528;2024-03-05 18:03:55;;1100
co529;2024-03-06 10:25:07;;600
co530;2024-03-06 14:37:31;;1000
co531;2024-03-06 19:02:19;;850
co532;2024-03-07 11:20:46;;300
co533;2024-03-07 15:28:49;;850
co534;2024-03-07 20:01:02;;1500
co535;2024-03-08 13:13:37;;400
co536;2024-03-08 18:51:56;;700
co537;2024-03-11 12:21:34;;1100
co538;2024-03-11 16:30:25;;1100
co539;2024-03-12 09:05:50;;350
co540;2024-03-12 12:58:57;;1350
co541;2024-03-12 17:45:11;;1300
co542;2024-03-13 10:47:39;;400
co543;2024-03-13 15:22:35;;350
co544;2024-03-13 19:42:20;;750
co545;2024-03-14 12:20:47;;600
co546;2024-03-14 16:28:51;;1050
co547;2024-03-15 09:14:58;;950
co548;2024-03-15 14:54:38;;550
co549;2024-03-18 09:21:42;;1000
co550;2024-03-18 13:30:41;;300
co551;2024-03-18 17:48:39;;700
co552;2024-03-19 10:54:35;;900
co553;2024-03-19 15:36:27;;750
co554;2024-03-19 20:23:56;;750
co555;2024-03-20 12:23:11;;500
co556;2024-03-20 16:33:39;;1000
co557;2024-03-21 09:15:32;;1150
co558;2024-03-21 13:18:21;;1200
co559;2024-03-21 17:23:59;;1050
co560;2024-03-22 10:35:48;;600
co561;2024-03-22 16:36:18;;350
co562;2024-03-25 10:31:00;;350
co563;2024-03-25 14:49:17;;750
co564;2024-03-25 19:25:51;;750
co565;2024-03-26 11:56:04;;350
co566;2024-03-26 16:39:25;;500
co567;2024-03-27 09:32:50;;1500
co568;2024-03-27 13:52:57;;450
co569;2024-03-27 18:33:11;;750
co570;2024-03-28 11:23:39;;1250
co571;2024-03-28 15:34:35;;1350
co572;2024-03-28 20:18:20;;1400
co573;2024-03-29 13:43:16;;950
co574;2024-03-29 19:59:12;;750
co575;2024-04-01 12:55:12;;300
co576;2024-04-01 17:37:41;;600
co577;2024-04-02 10:32:39;;1050
co578;2024-04-02 14:52:35;;600
co579;2024-04-02 19:32:27;;1150
co580;2024-04-03 12:05:58;;1450
co581;2024-04-03 15:59:13;;650
co582;2024-04-03 21:32:14;;1400
co583;2024-04-04 12:49:31;;300
co584;2024-04-04 17:26:19;;800
co585;2024-04-05 10:41:28;;850
co586;2024-04-05 16:47:38;;1300
co587;2024-04-08 10:50:16;;600
co588;2024-04-08 15:27:49;;300
co589;2024-04-08 19:58:02;;1300
co590;2024-04-09 12:44:20;;300
co591;2024-04-09 17:15:57;;550
co592;2024-04-10 09:49:11;;1350
co593;2024-04-10 14:25:39;;800
co594;2024-04-10 18:38:35;;1000
co595;2024-04-11 11:34:27;;600
co596;2024-04-11 15:56:11;;300
co597;2024-04-11 21:23:08;;900
co598;2024-04-12 14:17:50;;1100
co599;2024-04-12 20:42:54;;850
co600;2024-04-15 12:54:12;;650
