ocel_id;ocel_time;ocel_changed_field;Amount of Handling Units;Status;Weight
cr8;2023-05-24 17:50:00;;1;empty
cr22;2023-06-01 11:51:57;Weight;;;1250.0
cr32;2023-06-01 11:56:58;Status;;full
cr19;2023-06-01 11:57:46;Status;;full
cr26;2023-06-01 14:04:09;Weight;;;1180.0
cr32;2023-06-01 14:06:36;Weight;;;1160.0
cr19;2023-06-01 14:10:22;Weight;;;1120.0
cr48;2023-06-02 14:55:01;;6;empty
cr27;2023-06-02 16:19:13;;6;empty
cr30;2023-06-02 19:28:02;;6;empty
cr20;2023-06-02 20:12:02;;4;empty
cr10;2023-06-02 20:19:50;;4;empty
cr50;2023-06-02 20:40:42;;2;empty
cr27;2023-06-05 07:50:52;Status;;full
cr48;2023-06-05 08:13:22;Status;;full
cr49;2023-06-05 09:34:17;;6;empty
cr48;2023-06-05 09:36:31;Weight;;;1100.0
cr43;2023-06-05 10:00:22;;6;empty
cr27;2023-06-05 10:01:10;Weight;;;1140.0
cr50;2023-06-05 11:10:21;Status;;full
cr30;2023-06-05 11:24:56;Status;;full
cr20;2023-06-05 11:27:54;Status;;full
cr43;2023-06-05 11:42:17;Status;;full
cr49;2023-06-05 11:46:31;Status;;full
cr10;2023-06-05 11:47:29;Status;;full
cr52;2023-06-05 11:53:42;;6;empty
cr42;2023-06-05 11:54:59;;6;empty
cr43;2023-06-05 11:59:22;Weight;;;1180.0
cr50;2023-06-05 11:59:56;Weight;;;380.0
cr38;2023-06-05 13:36:49;;6;empty
cr30;2023-06-05 13:38:14;Weight;;;1230.0
cr54;2023-06-05 13:43:04;;6;empty
cr20;2023-06-05 13:49:19;Weight;;;760.0
cr34;2023-06-05 14:25:21;;3;empty
cr49;2023-06-05 14:26:51;Weight;;;1210.0
cr35;2023-06-05 14:27:43;;6;empty
cr10;2023-06-05 14:28:18;Weight;;;740.0
cr35;2023-06-06 09:13:44;Status;;full
cr52;2023-06-06 09:22:48;Status;;full
cr56;2023-06-06 09:24:02;;6;empty
cr34;2023-06-06 09:26:05;Status;;full
cr54;2023-06-06 09:26:06;Status;;full
cr35;2023-06-06 09:27:41;Weight;;;1140.0
cr42;2023-06-06 09:30:06;Status;;full
cr39;2023-06-06 09:32:49;;6;empty
cr52;2023-06-06 09:33:41;Weight;;;1160.0
cr51;2023-06-06 09:40:05;;6;empty
cr42;2023-06-06 09:40:52;Weight;;;1210.0
cr38;2023-06-06 09:54:27;Status;;full
cr41;2023-06-06 10:32:22;;6;empty
cr9;2023-06-06 10:32:30;;6;empty
cr34;2023-06-06 10:33:43;Weight;;;630.0
cr54;2023-06-06 10:37:41;Weight;;;1210.0
cr29;2023-06-06 10:58:39;;5;empty
cr38;2023-06-06 11:58:50;Weight;;;1190.0
cr56;2023-06-06 14:00:57;Status;;full
cr15;2023-06-06 14:11:18;;6;empty
cr56;2023-06-06 14:16:28;Weight;;;1140.0
cr39;2023-06-06 16:00:18;Status;;full
cr51;2023-06-06 16:08:31;Status;;full
cr9;2023-06-06 16:18:56;Status;;full
cr44;2023-06-06 16:20:49;;4;empty
cr51;2023-06-06 16:21:28;Weight;;;1230.0
cr29;2023-06-06 16:23:59;Status;;full
cr69;2023-06-06 16:31:30;;6;empty
cr9;2023-06-06 16:33:14;Weight;;;1260.0
cr29;2023-06-06 16:39:24;Weight;;;1030.0
cr41;2023-06-06 16:49:13;Status;;full
cr39;2023-06-06 16:56:25;Weight;;;1140.0
cr41;2023-06-06 17:55:21;Weight;;;1160.0
cr15;2023-06-06 18:14:30;Status;;full
cr44;2023-06-06 18:52:32;Status;;full
cr59;2023-06-06 18:58:36;;6;empty
cr37;2023-06-06 20:00:18;;6;empty
cr71;2023-06-06 20:41:24;;6;empty
cr69;2023-06-07 07:52:48;Status;;full
cr60;2023-06-07 08:25:12;;6;empty
cr15;2023-06-07 08:29:29;Weight;;;1310.0
cr46;2023-06-07 09:11:16;;6;empty
cr44;2023-06-07 09:13:31;Weight;;;880.0
cr75;2023-06-07 09:59:11;;2;empty
cr46;2023-06-07 10:54:58;Status;;full
cr69;2023-06-07 10:59:50;Weight;;;1260.0
cr37;2023-06-07 11:58:52;Status;;full
cr25;2023-06-07 11:59:59;;5;empty
cr75;2023-06-07 13:21:47;Status;;full
cr74;2023-06-07 13:34:14;;6;empty
cr75;2023-06-07 13:37:04;Weight;;;430.0
cr59;2023-06-07 13:59:14;Status;;full
cr46;2023-06-07 14:07:24;Weight;;;1300.0
cr82;2023-06-07 14:47:08;;6;empty
cr37;2023-06-07 14:49:32;Weight;;;1200.0
cr71;2023-06-07 15:00:51;Status;;full
cr18;2023-06-07 15:09:05;;4;empty
cr59;2023-06-07 15:09:39;Weight;;;1170.0
cr79;2023-06-07 15:10:52;;6;empty
cr71;2023-06-07 15:12:09;Weight;;;1210.0
cr60;2023-06-07 16:49:21;Status;;full
cr101;2023-06-07 17:54:19;;6;empty
cr60;2023-06-07 19:28:04;Weight;;;1210.0
cr18;2023-06-08 07:37:22;Status;;full
cr82;2023-06-08 07:44:11;Status;;full
cr74;2023-06-08 07:50:01;Status;;full
cr68;2023-06-08 07:57:20;;6;empty
cr18;2023-06-08 07:59:45;Weight;;;800.0
cr58;2023-06-08 08:48:36;;6;empty
cr82;2023-06-08 08:50:26;Weight;;;1140.0
cr94;2023-06-08 09:00:11;;6;empty
cr74;2023-06-08 09:03:17;Weight;;;1230.0
cr25;2023-06-08 10:13:05;Status;;full
cr70;2023-06-08 10:22:56;;4;empty
cr25;2023-06-08 10:23:32;Weight;;;960.0
cr79;2023-06-08 10:30:01;Status;;full
cr68;2023-06-08 10:50:41;Status;;full
cr73;2023-06-08 11:40:25;;6;empty
cr79;2023-06-08 11:42:07;Weight;;;1160.0
cr65;2023-06-08 11:51:31;;2;empty
cr68;2023-06-08 11:55:54;Weight;;;1160.0
cr70;2023-06-08 13:11:26;Status;;full
cr94;2023-06-08 13:29:27;Status;;full
cr58;2023-06-08 13:48:19;Status;;full
cr65;2023-06-08 14:10:58;Status;;full
cr70;2023-06-08 14:14:24;Weight;;;780.0
cr65;2023-06-08 14:23:25;Weight;;;380.0
cr99;2023-06-08 14:39:57;;6;empty
cr94;2023-06-08 14:46:30;Weight;;;1080.0
cr58;2023-06-08 14:49:50;Weight;;;1310.0
cr73;2023-06-08 14:56:31;Status;;full
cr101;2023-06-08 14:58:50;Status;;full
cr81;2023-06-08 15:23:50;;5;empty
cr99;2023-06-08 15:47:24;Status;;full
cr81;2023-06-08 15:52:16;Status;;full
cr73;2023-06-08 16:36:57;Weight;;;1190.0
cr101;2023-06-08 16:38:43;Weight;;;1160.0
cr81;2023-06-08 16:55:53;Weight;;;1080.0
cr99;2023-06-08 16:59:03;Weight;;;1160.0
cr64;2023-06-08 21:53:53;;6;empty
cr95;2023-06-08 22:02:06;;3;empty
cr72;2023-06-08 22:13:53;;6;empty
cr78;2023-06-08 22:29:22;;4;empty
cr45;2023-06-09 01:02:44;;6;empty
cr100;2023-06-09 05:36:16;;6;empty
cr95;2023-06-09 11:11:35;Status;;full
cr100;2023-06-09 11:36:32;Status;;full
cr64;2023-06-09 11:38:20;Status;;full
cr45;2023-06-09 11:44:08;Status;;full
cr78;2023-06-09 11:47:31;Status;;full
cr84;2023-06-09 11:50:43;;6;empty
cr72;2023-06-09 11:52:40;Status;;full
cr106;2023-06-09 11:56:36;;6;empty
cr64;2023-06-09 11:57:49;Weight;;;1160.0
cr45;2023-06-09 11:58:46;Weight;;;1160.0
cr57;2023-06-09 13:14:02;;6;empty
cr95;2023-06-09 13:17:11;Weight;;;650.0
cr76;2023-06-09 14:04:01;;6;empty
cr100;2023-06-09 14:11:08;Weight;;;1210.0
cr78;2023-06-09 14:35:39;Weight;;;810.0
cr77;2023-06-09 14:43:28;;6;empty
cr103;2023-06-09 14:44:07;;6;empty
cr72;2023-06-09 15:04:30;Weight;;;1210.0
cr106;2023-06-09 18:46:43;Status;;full
cr40;2023-06-12 09:13:55;;5;empty
cr106;2023-06-12 09:15:28;Weight;;;1160.0
cr76;2023-06-12 11:10:19;Status;;full
cr103;2023-06-12 11:39:28;Status;;full
cr84;2023-06-12 11:43:44;Status;;full
cr57;2023-06-12 11:46:58;Status;;full
cr40;2023-06-12 11:50:50;Status;;full
cr86;2023-06-12 11:54:31;;6;empty
cr76;2023-06-12 11:55:31;Weight;;;1300.0
cr77;2023-06-12 11:59:16;Status;;full
cr112;2023-06-12 13:53:13;;2;empty
cr40;2023-06-12 13:56:12;Weight;;;1050.0
cr107;2023-06-12 14:09:05;;6;empty
cr103;2023-06-12 14:10:31;Weight;;;1190.0
cr110;2023-06-12 14:12:22;;6;empty
cr77;2023-06-12 14:17:56;Weight;;;1120.0
cr66;2023-06-12 14:19:12;;6;empty
cr84;2023-06-12 14:23:00;Weight;;;1230.0
cr53;2023-06-12 14:26:25;;6;empty
cr57;2023-06-12 14:27:50;Weight;;;1240.0
cr112;2023-06-12 16:16:49;Status;;full
cr96;2023-06-12 17:50:26;;6;empty
cr112;2023-06-12 17:55:00;Weight;;;380.0
cr53;2023-06-13 09:40:08;Status;;full
cr86;2023-06-13 09:42:29;Status;;full
cr66;2023-06-13 09:49:12;Status;;full
cr96;2023-06-13 09:49:52;Status;;full
cr61;2023-06-13 09:52:23;;6;empty
cr86;2023-06-13 09:53:13;Weight;;;1190.0
cr107;2023-06-13 09:53:20;Status;;full
cr110;2023-06-13 09:53:22;Status;;full
cr63;2023-06-13 09:59:51;;6;empty
cr89;2023-06-13 10:56:33;;6;empty
cr90;2023-06-13 10:56:42;;1;empty
cr110;2023-06-13 10:58:02;Weight;;;1190.0
cr107;2023-06-13 10:58:20;Weight;;;1210.0
cr85;2023-06-13 11:00:40;;1;empty
cr53;2023-06-13 11:01:48;Weight;;;1260.0
cr96;2023-06-13 11:03:52;Weight;;;1280.0
cr111;2023-06-13 11:17:34;;6;empty
cr66;2023-06-13 11:21:39;Weight;;;1210.0
cr61;2023-06-13 13:17:46;Status;;full
cr109;2023-06-13 13:30:06;;1;empty
cr61;2023-06-13 13:30:57;Weight;;;1210.0
cr109;2023-06-13 13:56:49;Status;;full
cr90;2023-06-13 14:15:08;Status;;full
cr47;2023-06-13 14:24:59;;3;empty
cr90;2023-06-13 14:26:00;Weight;;;250.0
cr104;2023-06-13 15:34:01;;4;empty
cr109;2023-06-13 15:37:02;Weight;;;250.0
cr111;2023-06-13 16:29:05;Status;;full
cr63;2023-06-13 16:29:31;Status;;full
cr85;2023-06-13 16:35:08;Status;;full
cr47;2023-06-13 16:37:49;Status;;full
cr104;2023-06-13 16:39:17;Status;;full
cr89;2023-06-13 16:41:32;Status;;full
cr87;2023-06-13 16:41:42;;6;empty
cr111;2023-06-13 16:43:52;Weight;;;1230.0
cr63;2023-06-13 16:45:20;Weight;;;1180.0
cr85;2023-06-13 16:51:42;Weight;;;250.0
cr47;2023-06-13 16:52:40;Weight;;;580.0
cr89;2023-06-13 16:54:58;Weight;;;1100.0
cr104;2023-06-13 16:57:00;Weight;;;780.0
cr31;2023-06-13 19:26:31;;5;empty
cr93;2023-06-14 03:07:26;;6;empty
cr87;2023-06-14 07:49:14;Status;;full
cr87;2023-06-14 10:02:12;Weight;;;1140.0
cr31;2023-06-14 10:13:09;Status;;full
cr93;2023-06-14 10:20:40;Status;;full
cr31;2023-06-14 10:24:52;Weight;;;1010.0
cr80;2023-06-14 11:11:29;;6;empty
cr93;2023-06-14 11:24:17;Weight;;;1230.0
cr80;2023-06-14 11:43:17;Status;;full
cr80;2023-06-14 14:13:57;Weight;;;1230.0
cr128;2023-06-14 14:16:46;;6;empty
cr128;2023-06-14 14:47:12;Status;;full
cr137;2023-06-14 15:30:12;;6;empty
cr128;2023-06-14 15:58:19;Weight;;;1160.0
cr137;2023-06-14 17:08:16;Status;;full
cr137;2023-06-14 17:45:38;Weight;;;1180.0
cr102;2023-06-14 23:26:53;;6;empty
cr131;2023-06-15 02:28:31;;6;empty
cr136;2023-06-15 05:34:29;;6;empty
cr135;2023-06-15 08:29:03;;4;empty
cr131;2023-06-15 09:33:56;Status;;full
cr135;2023-06-15 09:42:59;Status;;full
cr136;2023-06-15 09:46:05;Status;;full
cr102;2023-06-15 09:46:06;Status;;full
cr136;2023-06-15 09:59:59;Weight;;;1230.0
cr102;2023-06-15 11:04:57;Weight;;;1190.0
cr131;2023-06-15 11:08:04;Weight;;;1210.0
cr135;2023-06-15 11:10:54;Weight;;;760.0
cr142;2023-06-15 11:26:11;;5;empty
cr142;2023-06-15 11:59:58;Status;;full
cr36;2023-06-15 12:24:35;;4;empty
cr97;2023-06-15 13:37:08;;6;empty
cr142;2023-06-15 14:52:26;Weight;;;1080.0
cr36;2023-06-15 15:01:20;Status;;full
cr36;2023-06-15 15:13:05;Weight;;;830.0
cr130;2023-06-15 15:18:28;;6;empty
cr23;2023-06-15 15:50:54;;2;empty
cr97;2023-06-15 16:14:00;Status;;full
cr130;2023-06-15 16:28:48;Status;;full
cr23;2023-06-15 17:19:39;Status;;full
cr97;2023-06-15 17:28:55;Weight;;;1190.0
cr141;2023-06-15 17:44:01;;6;empty
cr23;2023-06-15 19:28:32;Weight;;;400.0
cr146;2023-06-16 01:29:51;;6;empty
cr62;2023-06-16 02:18:18;;6;empty
cr114;2023-06-16 03:00:05;;6;empty
cr130;2023-06-16 07:22:58;Weight;;;1260.0
cr152;2023-06-16 09:12:46;;5;empty
cr146;2023-06-16 11:28:54;Status;;full
cr141;2023-06-16 11:43:11;Status;;full
cr114;2023-06-16 11:49:41;Status;;full
cr141;2023-06-16 11:56:32;Weight;;;1330.0
cr62;2023-06-16 11:58:56;Status;;full
cr132;2023-06-16 12:13:31;;6;empty
cr24;2023-06-16 12:41:43;;6;empty
cr127;2023-06-16 13:51:58;;6;empty
cr146;2023-06-16 13:53:11;Weight;;;1190.0
cr152;2023-06-16 14:02:52;Status;;full
cr114;2023-06-16 14:42:51;Weight;;;1210.0
cr152;2023-06-16 15:00:00;Weight;;;960.0
cr62;2023-06-16 16:02:57;Weight;;;1190.0
cr127;2023-06-16 16:17:29;Status;;full
cr132;2023-06-16 16:19:06;Status;;full
cr132;2023-06-16 16:37:17;Weight;;;1160.0
cr24;2023-06-16 16:57:52;Status;;full
cr127;2023-06-16 18:29:01;Weight;;;1140.0
cr24;2023-06-16 18:49:01;Weight;;;1120.0
cr138;2023-06-16 22:21:43;;6;empty
cr145;2023-06-17 00:14:37;;3;empty
cr116;2023-06-17 03:45:12;;6;empty
cr151;2023-06-17 04:54:29;;6;empty
cr144;2023-06-17 19:54:54;;6;empty
cr55;2023-06-17 20:39:06;;6;empty
cr144;2023-06-19 11:11:19;Status;;full
cr125;2023-06-19 11:22:37;;6;empty
cr144;2023-06-19 11:24:15;Weight;;;1160.0
cr116;2023-06-19 11:46:12;Status;;full
cr145;2023-06-19 11:55:55;Status;;full
cr147;2023-06-19 11:57:15;;6;empty
cr116;2023-06-19 11:59:16;Weight;;;1160.0
cr55;2023-06-19 14:03:11;Status;;full
cr118;2023-06-19 14:04:46;;6;empty
cr145;2023-06-19 14:06:16;Weight;;;560.0
cr151;2023-06-19 14:23:30;Status;;full
cr138;2023-06-19 14:33:42;Status;;full
cr155;2023-06-19 14:34:45;;6;empty
cr151;2023-06-19 14:35:26;Weight;;;1170.0
cr123;2023-06-19 14:44:53;;6;empty
cr115;2023-06-19 14:46:52;;6;empty
cr55;2023-06-19 14:47:46;Weight;;;1250.0
cr138;2023-06-19 14:48:59;Weight;;;1120.0
cr147;2023-06-19 16:56:55;Status;;full
cr118;2023-06-19 16:58:19;Status;;full
cr129;2023-06-19 18:31:06;;6;empty
cr118;2023-06-19 18:43:42;Weight;;;1140.0
cr125;2023-06-20 07:20:38;Status;;full
cr123;2023-06-20 07:23:54;Status;;full
cr126;2023-06-20 08:29:52;;6;empty
cr147;2023-06-20 08:32:31;Weight;;;1120.0
cr83;2023-06-20 09:00:52;;6;empty
cr125;2023-06-20 09:04:24;Weight;;;1140.0
cr155;2023-06-20 09:05:31;Status;;full
cr154;2023-06-20 09:06:27;;6;empty
cr123;2023-06-20 09:11:52;Weight;;;1250.0
cr140;2023-06-20 09:15:23;;6;empty
cr155;2023-06-20 09:16:27;Weight;;;1120.0
cr126;2023-06-20 09:58:15;Status;;full
cr129;2023-06-20 10:57:22;Status;;full
cr140;2023-06-20 11:16:48;Status;;full
cr115;2023-06-20 11:18:36;Status;;full
cr83;2023-06-20 11:20:44;Status;;full
cr154;2023-06-20 11:21:44;Status;;full
cr149;2023-06-20 11:30:32;;6;empty
cr83;2023-06-20 11:31:15;Weight;;;1190.0
cr134;2023-06-20 11:31:44;;6;empty
cr154;2023-06-20 11:34:03;Weight;;;1160.0
cr156;2023-06-20 11:36:26;;6;empty
cr126;2023-06-20 11:39:43;Weight;;;1160.0
cr122;2023-06-20 11:56:30;;6;empty
cr143;2023-06-20 11:59:01;;6;empty
cr91;2023-06-20 12:34:50;;6;empty
cr129;2023-06-20 13:36:52;Weight;;;1210.0
cr140;2023-06-20 13:58:43;Weight;;;1190.0
cr115;2023-06-20 14:02:07;Weight;;;1280.0
cr122;2023-06-20 15:53:12;Status;;full
cr156;2023-06-20 17:10:39;Status;;full
cr134;2023-06-20 17:28:51;Status;;full
cr121;2023-06-20 17:34:35;;6;empty
cr149;2023-06-20 17:38:00;Status;;full
cr122;2023-06-20 17:41:59;Weight;;;1210.0
cr91;2023-06-21 07:45:39;Status;;full
cr21;2023-06-21 07:48:52;;6;empty
cr156;2023-06-21 07:52:15;Weight;;;1120.0
cr143;2023-06-21 07:57:14;Status;;full
cr157;2023-06-21 08:19:07;;1;empty
cr134;2023-06-21 08:20:09;Weight;;;1330.0
cr164;2023-06-21 08:32:21;;6;empty
cr149;2023-06-21 08:44:04;Weight;;;1300.0
cr124;2023-06-21 08:51:06;;6;empty
cr91;2023-06-21 08:55:06;Weight;;;1170.0
cr153;2023-06-21 10:05:38;;6;empty
cr143;2023-06-21 10:06:26;Weight;;;1280.0
cr157;2023-06-21 10:15:17;Status;;full
cr124;2023-06-21 10:18:55;Status;;full
cr67;2023-06-21 10:28:55;;6;empty
cr124;2023-06-21 10:29:40;Weight;;;1260.0
cr113;2023-06-21 10:54:56;;6;empty
cr157;2023-06-21 10:55:47;Weight;;;200.0
cr21;2023-06-21 11:07:53;Status;;full
cr150;2023-06-21 11:18:07;;6;empty
cr21;2023-06-21 11:20:36;Weight;;;1210.0
cr121;2023-06-21 11:46:45;Status;;full
cr167;2023-06-21 11:56:52;;6;empty
cr121;2023-06-21 11:59:27;Weight;;;1140.0
cr164;2023-06-21 15:01:19;Status;;full
cr67;2023-06-21 15:11:09;Status;;full
cr168;2023-06-21 15:11:36;;6;empty
cr164;2023-06-21 15:13:00;Weight;;;1230.0
cr167;2023-06-21 15:38:05;Status;;full
cr153;2023-06-21 15:45:59;Status;;full
cr168;2023-06-21 15:51:20;Status;;full
cr165;2023-06-21 15:51:20;;6;empty
cr113;2023-06-21 15:52:43;Status;;full
cr150;2023-06-21 15:54:06;Status;;full
cr67;2023-06-21 15:55:36;Weight;;;1260.0
cr160;2023-06-21 16:52:51;;6;empty
cr168;2023-06-21 16:55:49;Weight;;;1170.0
cr163;2023-06-21 17:00:42;;4;empty
cr167;2023-06-21 17:08:18;Weight;;;1140.0
cr153;2023-06-21 17:21:49;Weight;;;1240.0
cr150;2023-06-21 17:38:16;Weight;;;1140.0
cr113;2023-06-21 17:39:34;Weight;;;1160.0
cr171;2023-06-21 23:01:15;;2;empty
cr148;2023-06-21 23:41:40;;3;empty
cr133;2023-06-22 06:26:31;;6;empty
cr160;2023-06-22 07:57:58;Status;;full
cr175;2023-06-22 09:15:40;;5;empty
cr165;2023-06-22 09:16:36;Status;;full
cr148;2023-06-22 09:19:48;Status;;full
cr171;2023-06-22 09:19:51;Status;;full
cr160;2023-06-22 09:23:58;Weight;;;1140.0
cr98;2023-06-22 09:26:34;;3;empty
cr171;2023-06-22 09:34:43;Weight;;;400.0
cr163;2023-06-22 09:37:56;Status;;full
cr175;2023-06-22 09:45:58;Status;;full
cr133;2023-06-22 09:47:58;Status;;full
cr165;2023-06-22 09:48:55;Weight;;;1140.0
cr98;2023-06-22 09:55:15;Status;;full
cr163;2023-06-22 09:56:16;Weight;;;780.0
cr179;2023-06-22 10:21:20;;6;empty
cr176;2023-06-22 10:21:20;;6;empty
cr178;2023-06-22 10:21:20;;6;empty
cr175;2023-06-22 10:58:56;Weight;;;940.0
cr148;2023-06-22 12:02:36;Weight;;;580.0
cr180;2023-06-22 12:05:29;;5;empty
cr133;2023-06-22 13:05:06;Weight;;;1140.0
cr98;2023-06-22 13:10:35;Weight;;;560.0
cr176;2023-06-22 13:45:51;Status;;full
cr180;2023-06-22 13:51:12;Status;;full
cr179;2023-06-22 13:53:04;Status;;full
cr178;2023-06-22 13:59:56;Status;;full
cr162;2023-06-22 14:12:01;;6;empty
cr162;2023-06-22 14:48:24;Status;;full
cr177;2023-06-22 14:48:37;;6;empty
cr180;2023-06-22 14:59:55;Weight;;;1050.0
cr178;2023-06-22 15:10:42;Weight;;;1140.0
cr176;2023-06-22 15:16:35;Weight;;;1120.0
cr179;2023-06-22 15:30:39;Weight;;;1140.0
cr162;2023-06-22 16:00:35;Weight;;;1120.0
cr177;2023-06-22 17:31:45;Status;;full
cr159;2023-06-22 19:00:48;;4;empty
cr88;2023-06-23 00:04:56;;6;empty
cr172;2023-06-23 03:19:26;;6;empty
cr119;2023-06-23 03:45:45;;1;empty
cr177;2023-06-23 08:48:48;Weight;;;1120.0
cr119;2023-06-23 09:36:23;Status;;full
cr172;2023-06-23 09:46:33;Status;;full
cr159;2023-06-23 09:46:41;Status;;full
cr119;2023-06-23 09:52:16;Weight;;;200.0
cr88;2023-06-23 09:53:26;Status;;full
cr172;2023-06-23 11:01:23;Weight;;;1230.0
cr159;2023-06-23 11:23:34;Weight;;;740.0
cr88;2023-06-23 11:39:19;Weight;;;1160.0
cr108;2023-06-23 14:31:46;;6;empty
cr161;2023-06-23 17:00:56;;6;empty
cr108;2023-06-23 18:42:20;Status;;full
cr189;2023-06-23 19:20:15;;4;empty
cr197;2023-06-23 20:08:41;;6;empty
cr139;2023-06-23 20:17:16;;6;empty
cr204;2023-06-23 21:15:54;;6;empty
cr161;2023-06-26 07:46:44;Status;;full
cr170;2023-06-26 08:01:33;;6;empty
cr195;2023-06-26 08:55:09;;6;empty
cr161;2023-06-26 09:13:04;Weight;;;1140.0
cr108;2023-06-26 09:27:12;Weight;;;1210.0
cr139;2023-06-26 13:36:11;Status;;full
cr170;2023-06-26 13:49:14;Status;;full
cr193;2023-06-26 13:50:07;;6;empty
cr139;2023-06-26 14:06:07;Weight;;;1210.0
cr187;2023-06-26 14:51:48;;6;empty
cr170;2023-06-26 14:53:33;Weight;;;1080.0
cr204;2023-06-26 17:34:32;Status;;full
cr197;2023-06-26 18:55:49;Status;;full
cr195;2023-06-26 19:05:28;Status;;full
cr191;2023-06-26 19:12:11;;1;empty
cr204;2023-06-27 07:17:28;Weight;;;1180.0
cr120;2023-06-27 08:15:14;;6;empty
cr197;2023-06-27 08:16:51;Weight;;;1140.0
cr199;2023-06-27 08:24:57;;6;empty
cr195;2023-06-27 08:32:12;Weight;;;1180.0
cr189;2023-06-27 10:15:58;Status;;full
cr191;2023-06-27 10:15:58;Status;;full
cr209;2023-06-27 10:26:10;;6;empty
cr208;2023-06-27 10:26:12;;6;empty
cr191;2023-06-27 10:27:59;Weight;;;250.0
cr189;2023-06-27 10:29:09;Weight;;;800.0
cr199;2023-06-27 10:50:29;Status;;full
cr208;2023-06-27 10:55:18;Status;;full
cr187;2023-06-27 10:58:38;Status;;full
cr183;2023-06-27 11:50:53;;6;empty
cr199;2023-06-27 11:52:57;Weight;;;1300.0
cr193;2023-06-27 11:58:21;Status;;full
cr174;2023-06-27 12:07:14;;6;empty
cr211;2023-06-27 12:30:37;;3;empty
cr187;2023-06-27 13:08:23;Weight;;;1190.0
cr208;2023-06-27 13:33:20;Weight;;;1180.0
cr209;2023-06-27 14:28:16;Status;;full
cr202;2023-06-27 14:38:09;;6;empty
cr120;2023-06-27 14:38:40;Status;;full
cr209;2023-06-27 14:43:11;Weight;;;1140.0
cr192;2023-06-27 14:46:30;;6;empty
cr182;2023-06-27 14:48:57;;5;empty
cr193;2023-06-27 14:49:13;Weight;;;1280.0
cr120;2023-06-27 14:50:52;Weight;;;1180.0
cr174;2023-06-27 17:24:32;Status;;full
cr201;2023-06-27 17:57:20;;6;empty
cr174;2023-06-27 19:13:42;Weight;;;1220.0
cr202;2023-06-28 07:10:53;Status;;full
cr183;2023-06-28 07:15:58;Status;;full
cr198;2023-06-28 07:30:43;;6;empty
cr202;2023-06-28 07:31:49;Weight;;;1210.0
cr211;2023-06-28 07:46:41;Status;;full
cr117;2023-06-28 08:51:18;;1;empty
cr206;2023-06-28 08:53:01;;4;empty
cr183;2023-06-28 08:55:53;Weight;;;1190.0
cr211;2023-06-28 09:53:18;Weight;;;650.0
cr192;2023-06-28 10:10:58;Status;;full
